date,group,n_s,sun,tree_no,length_mm
3/20/25,cephalopods,n,shady,1,20
3/20/25,cephalopods,n,shady,1,21
3/20/25,cephalopods,n,shady,1,23
3/20/25,cephalopods,n,shady,1,25
3/20/25,cephalopods,n,shady,1,21
3/20/25,cephalopods,n,shady,1,16
3/20/25,cephalopods,s,sunny,1,15
3/20/25,cephalopods,s,sunny,1,16
3/20/25,cephalopods,s,sunny,1,14
3/20/25,cephalopods,s,sunny,1,17
3/20/25,cephalopods,s,sunny,1,13
3/20/25,cephalopods,s,sunny,1,15
3/20/25,salmon,n,shady,2,19
3/20/25,salmon,n,shady,2,18
3/20/25,salmon,n,shady,2,20
3/20/25,salmon,n,shady,2,23
3/20/25,salmon,n,shady,2,21
3/20/25,salmon,n,shady,2,18
3/20/25,salmon,s,sunny,2,12
3/20/25,salmon,s,sunny,2,13
3/20/25,salmon,s,sunny,2,14
3/20/25,salmon,s,sunny,2,12
3/20/25,salmon,s,sunny,2,12
3/20/25,salmon,s,sunny,2,14
3/20/25,crayfish,n,shady,3,20
3/20/25,crayfish,n,shady,3,21
3/20/25,crayfish,n,shady,3,23
3/20/25,crayfish,n,shady,3,25
3/20/25,crayfish,n,shady,3,21
3/20/25,crayfish,n,shady,3,16
3/20/25,crayfish,s,sunny,3,15
3/20/25,crayfish,s,sunny,3,16
3/20/25,crayfish,s,sunny,3,14
3/20/25,crayfish,s,sunny,3,17
3/20/25,crayfish,s,sunny,3,13
3/20/25,crayfish,s,sunny,3,15
3/20/25,snail,n,shady,4,19
3/20/25,snail,n,shady,4,18
3/20/25,snail,n,shady,4,20
3/20/25,snail,n,shady,4,23
3/20/25,snail,n,shady,4,21
3/20/25,snail,n,shady,4,18
3/20/25,snail,s,sunny,4,17
3/20/25,snail,s,sunny,4,16
3/20/25,snail,s,sunny,4,19
3/20/25,snail,s,sunny,4,18
3/20/25,snail,s,sunny,4,15
3/20/25,snail,s,sunny,4,16
