source_file,team,replicate,side,needle_length_mm,needle_width_mm
data/Bartell_Shingledecker_tree_needle_data_2026.csv,grace_jace,1,sunny,18.44,0.79
data/Bartell_Shingledecker_tree_needle_data_2026.csv,grace_jace,2,sunny,12.48,0.99
data/Bartell_Shingledecker_tree_needle_data_2026.csv,grace_jace,3,sunny,17.73,1.12
data/Bartell_Shingledecker_tree_needle_data_2026.csv,grace_jace,4,sunny,13.98,0.94
data/Bartell_Shingledecker_tree_needle_data_2026.csv,grace_jace,5,sunny,14.18,1
data/Bartell_Shingledecker_tree_needle_data_2026.csv,grace_jace,6,sunny,19.17,0.99
data/Bartell_Shingledecker_tree_needle_data_2026.csv,grace_jace,7,sunny,10.92,0.81
data/Bartell_Shingledecker_tree_needle_data_2026.csv,grace_jace,8,sunny,17.32,1.29
data/Bartell_Shingledecker_tree_needle_data_2026.csv,grace_jace,1,shady,16.61,0.75
data/Bartell_Shingledecker_tree_needle_data_2026.csv,grace_jace,2,shady,16.95,0.84
data/Bartell_Shingledecker_tree_needle_data_2026.csv,grace_jace,3,shady,14.32,0.86
data/Bartell_Shingledecker_tree_needle_data_2026.csv,grace_jace,4,shady,15.6,0.98
data/Bartell_Shingledecker_tree_needle_data_2026.csv,grace_jace,5,shady,15.12,1.35
data/Bartell_Shingledecker_tree_needle_data_2026.csv,grace_jace,6,shady,13.06,0.77
data/Bartell_Shingledecker_tree_needle_data_2026.csv,grace_jace,7,shady,17.93,0.69
data/Bartell_Shingledecker_tree_needle_data_2026.csv,grace_jace,8,shady,13.46,1.17
data/Kehr_and_Baalke.csv,one,1,sunny,16.18,1.36
data/Kehr_and_Baalke.csv,one,2,sunny,16.47,1.46
data/Kehr_and_Baalke.csv,one,3,sunny,13.35,1.34
data/Kehr_and_Baalke.csv,one,4,sunny,11.44,1.17
data/Kehr_and_Baalke.csv,one,5,sunny,13.13,1.3
data/Kehr_and_Baalke.csv,one,6,sunny,14.82,1.06
data/Kehr_and_Baalke.csv,one,7,sunny,12.75,1.18
data/Kehr_and_Baalke.csv,one,8,sunny,15.39,1.25
data/Kehr_and_Baalke.csv,one,1,shady,11.54,1.11
data/Kehr_and_Baalke.csv,one,2,shady,14.01,1.16
data/Kehr_and_Baalke.csv,one,3,shady,12.97,1.16
data/Kehr_and_Baalke.csv,one,4,shady,12.93,1.16
data/Kehr_and_Baalke.csv,one,5,shady,17.72,1
data/Kehr_and_Baalke.csv,one,6,shady,14.3,1.23
data/Kehr_and_Baalke.csv,one,7,shady,11.76,1.05
data/Kehr_and_Baalke.csv,one,8,shady,10.56,0.98
data/Needle_Length_Suhr:Bulthuis.csv,waterbugs,1,shady,10.54,1.22
data/Needle_Length_Suhr:Bulthuis.csv,waterbugs,2,shady,7.23,1.16
data/Needle_Length_Suhr:Bulthuis.csv,waterbugs,3,shady,11.64,1.27
data/Needle_Length_Suhr:Bulthuis.csv,waterbugs,4,shady,13.36,1.35
data/Needle_Length_Suhr:Bulthuis.csv,waterbugs,5,shady,15.07,1.28
data/Needle_Length_Suhr:Bulthuis.csv,waterbugs,6,shady,11.7,1.03
data/Needle_Length_Suhr:Bulthuis.csv,waterbugs,7,shady,11.26,1.13
data/Needle_Length_Suhr:Bulthuis.csv,waterbugs,8,shady,13.06,0.98
data/Needle_Length_Suhr:Bulthuis.csv,waterbugs,1,sunny,13.17,0.96
data/Needle_Length_Suhr:Bulthuis.csv,waterbugs,2,sunny,10.71,1.08
data/Needle_Length_Suhr:Bulthuis.csv,waterbugs,3,sunny,19.52,1.58
data/Needle_Length_Suhr:Bulthuis.csv,waterbugs,4,sunny,12.37,1.45
data/Needle_Length_Suhr:Bulthuis.csv,waterbugs,5,sunny,11.7,1.23
data/Needle_Length_Suhr:Bulthuis.csv,waterbugs,6,sunny,13.64,1.27
data/Needle_Length_Suhr:Bulthuis.csv,waterbugs,7,sunny,15.35,1.11
data/Needle_Length_Suhr:Bulthuis.csv,waterbugs,8,sunny,14.22,1.34
data/heal_thome_pineneedles.csv,botany,1,shady,16.46,0.65
data/heal_thome_pineneedles.csv,botany,2,shady,20.71,0.77
data/heal_thome_pineneedles.csv,botany,3,shady,17.59,0.94
data/heal_thome_pineneedles.csv,botany,4,shady,15.11,0.72
data/heal_thome_pineneedles.csv,botany,5,shady,17.62,0.79
data/heal_thome_pineneedles.csv,botany,6,shady,15.34,0.9
data/heal_thome_pineneedles.csv,botany,7,shady,14.79,1.03
data/heal_thome_pineneedles.csv,botany,8,shady,11.55,0.66
data/heal_thome_pineneedles.csv,botany,1,sunny,16.82,0.98
data/heal_thome_pineneedles.csv,botany,2,sunny,18.67,1.07
data/heal_thome_pineneedles.csv,botany,3,sunny,15.69,1.07
data/heal_thome_pineneedles.csv,botany,4,sunny,16.86,1.16
data/heal_thome_pineneedles.csv,botany,5,sunny,15.83,0.81
data/heal_thome_pineneedles.csv,botany,6,sunny,18.46,1.18
data/heal_thome_pineneedles.csv,botany,7,sunny,17.3,1.2
data/heal_thome_pineneedles.csv,botany,8,sunny,18.8,1.12
