sampling_site,location,weight_animal
Sidney Island,island,26
Sidney Island,island,24
Sidney Island,island,21.5
Sidney Island,island,23
Sidney Island,island,22
Sidney Island,island,21
Sidney Island,island,22
Sidney Island,island,20
Sidney Island,island,28
Sidney Island,island,25
Sidney Island,island,23.5
Sidney Island,island,23
Sidney Island,island,30
Sidney Island,island,21.5
Sidney Island,island,24
Sidney Island,island,23
Sidney Island,island,25
Sidney Island,island,22
Sidney Island,island,24
Sidney Island,island,28
Sidney Island,island,24
Sidney Island,island,26.5
Sidney Island,island,22
Sidney Island,island,25
Sidney Island,island,24.5
Sidney Island,island,20
Sidney Island,island,27
Sidney Island,island,20
Sidney Island,island,22.5
Sidney Island,island,NA
Sidney Island,island,21
Sidney Island,island,27
Sidney Island,island,20.5
Sidney Island,island,17
Vancouver,mainland,18
Vancouver,mainland,20
Vancouver,mainland,21
Vancouver,mainland,21
Vancouver,mainland,18
Vancouver,mainland,20
Vancouver,mainland,21
Vancouver,mainland,21
Vancouver,mainland,19
Vancouver,mainland,19
Vancouver,mainland,18
Vancouver,mainland,20.6
Vancouver,mainland,18
Vancouver,mainland,17.5
Vancouver,mainland,20.5
Vancouver,mainland,20
Vancouver,mainland,19
Vancouver,mainland,18.5
Vancouver,mainland,22
Vancouver,mainland,19
Vancouver,mainland,21.5
Vancouver,mainland,23
Vancouver,mainland,22.5
Vancouver,mainland,23
Vancouver,mainland,24
Vancouver,mainland,19.5
Vancouver,mainland,20
Vancouver,mainland,20.5
