route_name,POINT_X,POINT_Y
Red_lake,367548.133,5371047.188
Cascade,683816.4289,5299911.991
Cass,430002.8506,5203710.291
Kooch_north,475368.8731,5353069.63
Blackduck,514341.1969,5339410.313
C_st_louis,592503.2644,5256645.137
Cass_crow,397347.8144,5159392.648
Kawishiwi,628857.1752,5303118.603
Ely_finger,560306.671,5330482.426
Itasca,471533.7115,5260537.611
Kanabec,479434.6864,5094771.775
Southern_pine,526941.2677,5104755.707
Northome,425648.1793,5309060.431
West_vermillion,518480.8055,5308555.397
Hay_kelliher,385092.9121,5311334.988
Kabetogama,508423.8432,5374266.132
