OID,rte.name,route.type,ecs,year,num.col,rte.km,col.km,aircraft,pilot,speed,observer1,observer2,obs.type,flt.cond,1st.yr.pilot,1st.yr.obs
1,Blackduck,Waterway,N_sup_upland,1975,123,111.989,1.098,Cessna 180,Hodge,2,Breyen,NA,single,good,no,no
2,Blackduck,Waterway,N_sup_upland,1976,85,111.989,0.759,Cessna 172,Wilderness_wings,1,Breyen,NA,single,good,yes,no
3,Blackduck,Waterway,N_sup_upland,1977,108,111.989,0.964,Cessna 172,Wilderness_wings,1,Breyen,NA,single,good,no,no
4,Blackduck,Waterway,N_sup_upland,1978,134,111.989,1.197,Cessna 180,Glaser,1,Breyen,NA,single,good,yes,no
5,Blackduck,Waterway,N_sup_upland,1979,114,111.989,1.018,Cessna 172,Wilderness_wings,1,Breyen,Kanz,double,good,no,no
6,Blackduck,Waterway,N_sup_upland,1980,95,111.989,0.848,Cessna 150,Ross,1,Breyen,NA,single,good,yes,no
7,Blackduck,Waterway,N_sup_upland,1981,106,111.989,0.947,Cessna 150,Taconite,1,Breyen,NA,single,good,yes,no
8,Blackduck,Waterway,N_sup_upland,1982,79,111.989,0.705,Cessna 185,Ross,1,Lightfoot,NA,single,good,no,yes
9,Blackduck,Waterway,N_sup_upland,1983,62,111.989,0.554,Cessna 172,Taconite,1,Lightfoot,NA,single,good,no,no
10,Blackduck,Waterway,N_sup_upland,1984,105,111.989,0.938,Cessna 185,Ross,1,Lightfoot,NA,single,good,no,no
11,Blackduck,Waterway,N_sup_upland,1985,133,111.989,1.188,Cessna 185,Ross,1,Lightfoot,NA,single,NA,no,no
12,Blackduck,Waterway,N_sup_upland,1986,NA,111.989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,Blackduck,Waterway,N_sup_upland,1987,73,111.989,0.652,Cessna 185,Ross,2,Lightfoot,Caron,double,good,no,no
14,Blackduck,Waterway,N_sup_upland,1988,104,111.989,0.929,Cessna 185,Ross,NA,Lightfoot,Kotts,double,fair,no,no
