Elev,Precip,veg_cover,Pop_size,Survive,Die,Population
2900,1178,6.4,1728,1414,314,1
2185,1395,2.2,3788,1443,2345,2
2205,1221,2.6,673,357,316,3
2235,1182,2,473,220,253,4
2275,1148,1.4,741,386,355,5
2245,1191,8.4,1063,640,423,6
2205,1246,0.2,224,84,140,7
2240,1214,12.2,183,139,44,8
2215,1258,8,432,257,175,9
2230,1466,8,919,608,311,10
2265,1520,2,333,138,195,11
2210,1410,7,994,502,492,12
2270,1214,11.4,368,249,119,13
2950,1181,1,129,103,26,14
2815,1197,8.2,204,134,70,15
2285,1183,1.8,6394,2954,3440,16
2837,1203,13.8,367,249,118,17
2265,1170,1.4,423,198,225,18
2228,1192,1,1318,401,917,19
2308,1143,6,277,138,139,20
2454,1092,1,3014,1627,1387,21
2688,1164,0,223,132,91,22
2624,1132,1,590,391,199,23
2695,1139,3.8,231,161,70,24
2478,1108,0,593,281,312,25
2479,1113,1.4,191,110,81,26
2897,1178,5.8,618,444,174,27
2694,1143,2.2,770,564,206,28
2617,1117,1.2,591,388,203,29
2402,1117,0.6,325,119,206,30
2366,1110,0.6,315,129,186,31
