PRICE,HEIGHT,WIDTH,SIGNED,PICTURE,HOUSE ,SIZE
3.99378,21.3,25.6,1,1,1,545.28
8.8,31.9,25.6,1,2,2,816.64
0.131694,6.9,15.9,0,3,3,109.71
2.0375,25.7,32,1,4,2,822.4
1.4875,25.7,32,1,4,2,822.4
1.87,25.6,31.9,1,4,1,816.64
5.2825,25.5,35.6,1,5,1,907.8
5.06575,26,34.3,1,5,2,891.8
1.375,25.6,36.2,1,5,2,926.72
2.53,25.6,36.4,1,6,2,931.84
3.7425,25.6,36.4,1,6,2,931.84
0.364343,25.6,36.2,1,7,2,926.72
2.72387,31.9,39.4,1,8,2,1256.86
3.52,23.6,31.9,1,9,1,752.84
0.4975,19.5,25,1,10,2,487.5
9.35,32.7,26.8,1,11,1,876.36
1.2195,25.5,36,1,12,2,918
0.407,25.6,39.4,1,12,2,1008.64
3.71339,25.6,36.2,1,13,3,926.72
5.296406,25.8,21.5,1,14,2,554.7
2.862,21.4,28.9,1,15,2,618.46
4.18,26,32.5,1,16,1,845
2.48075,26,32.5,1,16,2,845
0.237068,50,14.6,0,17,2,730
0.527446,22.7,28.1,1,18,1,637.87
33.013504,35,39.4,1,19,2,1379
0.035549,37.4,39.4,0,20,3,1473.56
0.495,32.1,23.5,1,21,1,754.35
1.078,32.1,23.5,1,21,1,754.35
0.4315,25.7,36.4,0,22,2,935.48
3.48,25.7,36.5,1,23,2,938.05
0.4645,21.5,25.9,1,24,1,556.85
1.65,25.6,31.9,1,25,1,816.64
4.488,28.7,36.2,1,26,2,1038.94
0.1565,23.7,23.7,0,27,2,561.69
0.191346,23.6,23.6,0,27,2,556.96
1.216,29.3,29.3,1,28,1,858.49
0.7975,32,32.6,1,29,2,1043.2
1.21,25.7,32,1,30,1,822.4
0.699516,21.3,25.6,1,31,2,545.28
0.762509,25.6,31.9,1,32,2,816.64
0.760486,23.9,31.5,1,33,1,752.85
0.8825,23.6,28.7,1,34,1,677.32
3.74,32.3,23.6,1,35,2,762.28
0.219005,19.7,22.4,0,36,2,441.28
1.39062,23.6,31.5,1,37,2,743.4
2.8695,23.6,28,1,38,1,660.8
