River,Site,Year,Site_code,Latitude,Longitude,Drainage.area.sq.km,Transect,life_history,Tribe,species_code,TDMt_total,TAFDMt_total,TSMt_total,OSMt_total,ISMt_total,P_TDM_total,P_TAFDM_total,P_TSM_total,P_OSM_total,P_ISM_total,total_organic_B_total,total_organic_P_total,total_inorganic_B_total,total_inorganic_P_total,TDMt_m2,TAFDMt_m2,TSMt_m2,OSMt_m2,ISMt_m2,P_TDM_m2,P_TAFDM_m2,P_TSM_m2,P_OSM_m2,P_ISM_m2,total_organic_B_m2,total_organic_P_m2,total_inorganic_B_m2,total_inorganic_P_m2
LUBBUB,LUBBUB_1,2016,L1,33.19698,-88.090603,318.5685375,0-15_13,NA,Corbicula,CFLU,1.464587826,1.065066887,48.69210396,1.416940225,47.27516374,0.981510541,0.715738271,32.91756063,0.957901014,31.95965962,2.482007112,1.673639285,47.67468467,32.22543189,0.976391884,0.710044591,32.46140264,0.944626817,31.51677582,0.654340361,0.477158847,21.94504042,0.638600676,21.30643974,1.654671408,1.115759524,31.78312312,21.48362126
LUBBUB,LUBBUB_1,2016,L1,33.19698,-88.090603,318.5685375,0-15_13,Equilibrium,Pleurobemini,FCER,0.365744482,0.323619955,16.08327367,0.839546886,15.24372678,0.091945794,0.078786527,3.626934335,0.189325972,3.437608363,1.163166841,0.268112499,15.28585131,3.45076763,0.243829654,0.215746637,10.72218245,0.559697924,10.16248452,0.061297196,0.052524351,2.417956224,0.126217315,2.291738909,0.77544456,0.178741666,10.19056754,2.300511754
LUBBUB,LUBBUB_1,2016,L1,33.19698,-88.090603,318.5685375,0-15_13,Opportunistic,Lampsilini,LORN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
LUBBUB,LUBBUB_1,2016,L1,33.19698,-88.090603,318.5685375,0-15_13,Periodic,Lampsilini,OREF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
LUBBUB,LUBBUB_1,2016,L1,33.19698,-88.090603,318.5685375,0-15_13,Equilibrium,Pleurobemini,PDEC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
LUBBUB,LUBBUB_1,2016,L1,33.19698,-88.090603,318.5685375,0-15_13,Equilibrium,Quadrulini,PKIE,3.495278248,3.094345015,133.3524307,9.948091328,123.4043393,0.566412308,0.502110968,21.15190484,1.577932101,19.57397274,13.04243634,2.08004307,123.8052726,19.63827408,2.330185499,2.062896677,88.90162044,6.632060885,82.26955956,0.377608205,0.334740645,14.1012699,1.051954734,13.04931516,8.694957562,1.38669538,82.53684838,13.09218272
LUBBUB,LUBBUB_1,2016,L1,33.19698,-88.090603,318.5685375,0-15_13,Periodic,Lampsilini,LSTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
LUBBUB,LUBBUB_1,2016,L1,33.19698,-88.090603,318.5685375,0-15_13,Periodic,Lampsilini,MACU,0.169378821,0.14795966,2.063057,0.121514057,1.941542943,0.032584726,0.027637642,0.399156209,0.023510301,0.375645908,0.269473717,0.051147943,1.962962104,0.380592992,0.112919214,0.098639773,1.375371334,0.081009372,1.294361962,0.021723151,0.018425095,0.266104139,0.015673534,0.250430605,0.179649145,0.034098628,1.308641403,0.253728661
LUBBUB,LUBBUB_1,2016,L1,33.19698,-88.090603,318.5685375,0-15_13,Periodic,Lampsilini,OUNI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
LUBBUB,LUBBUB_1,2016,L1,33.19698,-88.090603,318.5685375,0-15_13,Equilibrium,Quadrulini,QVER,3.225463645,2.067702773,101.0779881,6.206188471,94.87179965,1.102395876,0.770671465,34.25653863,2.103351472,32.15318716,8.273891244,2.874022936,96.02956052,32.48491157,2.150309096,1.378468515,67.38532541,4.13745898,63.24786643,0.734930584,0.513780976,22.83769242,1.402234315,21.4354581,5.515927496,1.916015291,64.01970701,21.65660771
