       height  mouth_diam tube_diam keel_diam wing1_length wing2_length wingsprea hoodarea wingarea tubearea hoodmass_g tubemass_g wingmass_g Ca_ppm   P_ppm    K_ppm    Mg_ppm   C_pct    H_pct    N_pct
TJH        654    38.4     16.6       6.4       85   76       55    63.77    33.65    87.15     1.38     3.54     0.29   717.90   997.12 10699.50  1983.40    49.43     5.50     0.93
TJH        413    22.2     17.2       5.9       55   26       60     21.1     7.36    44.78     0.49     1.48     0.06   392.74   876.99  9576.49  1540.73    50.24     5.63     0.94
TJH        610    31.2     19.9       6.7       62   60       78    28.47    15.75    56.64      0.6      2.2     0.16   402.45  1287.62 11738.73  1514.21    50.77     5.58     1.08
TJH        546    34.4     20.8       6.3       84   79       95    48.82    30.47    76.31     1.12     2.95     0.24   497.16   662.55 11173.37  1399.24    50.27     5.67     0.88
TJH        665    30.5     20.4       6.6       60   51       30    29.48    11.33   100.22     0.67     3.36     0.08   504.48  1115.53  7017.39  1964.15    50.20     5.56     0.98
TJH        665    33.6     19.5       6.6       84   66       82    55.67    27.54   106.12     1.27     4.05     0.21   435.90  1344.98  8322.84  2618.65    49.61     5.76     1.38
TJH        638    37.4       23       7.4       63   70       86    60.71    20.29    97.06     1.55     4.27     0.21   423.10  1031.05 11324.57  1621.55    49.12     5.52     0.99
TJH        629    29.6     19.9       5.9       75   73      130    38.36     24.6    91.37     0.83     3.48     0.19   470.43   769.03 10778.44  1596.02    51.01     5.63     0.97
TJH        508    22.9     20.4       8.2       52   53       75    34.22    10.86    69.31     0.57      2.2     0.08   701.38  1082.48 13422.92  1813.15    49.04     5.34     1.02
TJH        709    39.4     19.4       5.9       55   53       65    61.45     15.2   101.85     1.39     4.44     0.14   715.82   796.78 10919.51  1519.84    50.17     5.53     0.93
TJH        468    25.5     19.3       7.7       56   16       60     41.7     8.19    50.72     0.83     1.68     0.07   616.36  1065.41 13344.24  1941.91    47.83     5.29     0.89
TJH        624    38.9     20.8       5.5       93  104      120    77.07    40.16    78.46     1.51     2.91     0.03   898.53  1027.02  8643.79  1655.15    49.75     5.64     0.99
TJH        703    38.9     19.9         7       90   96      145    66.48    40.86   118.54     1.54     4.99     0.36   898.73  1108.62  9701.64  1334.10    48.74     5.19     0.95
TJH        665    33.4     18.3       7.3       67   63       62    69.25     19.5    90.06     1.53     3.76      0.2   784.65   941.91  9414.73  1324.36    49.61     5.78     0.97
TJH        606    36.3     19.8       5.9       45   47       70     58.3    14.47    91.69     0.84     2.68      0.1   768.69  1020.73 13472.56  1565.93    48.87     5.25     0.95
TJH        521    27.6     16.6         5       50   35       58    42.33     9.49    60.19     0.64     1.75     0.05   911.19   919.75 12251.89  1833.34    49.07     5.60     0.93
TJH        735    33.9     17.5       6.1       65   66       90    55.14    21.67    97.95     0.96      3.6      0.2   490.23  1159.17 11699.45  2160.41    19.01     5.71     0.95
TJH        530    33.7     20.8       5.8       61   80      122    40.17    19.41    69.49     0.58     1.99     0.08   677.12   863.26 15155.91  2051.63    48.28     5.52     0.96
TJH        582    20.5     20.4       6.6       51   60       74    32.25    16.13    85.19     0.54     2.92      0.1   815.69  1200.60 17811.85  1834.68    48.32     5.51     0.91
TJH        641    31.5       20       5.9       44   77       80    45.74     19.7    101.3     0.76     3.16     0.13   519.78   887.34 13596.49  1682.27    48.95     5.43     0.90
TJH        662    32.9     18.5       6.5       75   67      110    51.29    18.98   103.64      0.9     3.53     0.11   381.07   841.68 13588.97  1611.40    48.97     5.87     0.92
TJH        587    28.5     23.6       9.5       56   53       52    38.79    15.74    91.45     0.72     2.85     0.13   368.49   898.96 14271.31  1516.04    48.94     5.62     0.83
TJH        665      26     27.9       6.4       10   16       22       35     2.03    98.38     0.56     2.92     0.02   275.08  1021.02 15119.16  1444.75    48.25     5.61     1.02
TJH        515    24.8     17.5       8.8       65   61       90    34.04     13.4    67.35     0.62     1.79     0.08   393.43  1471.81 14407.70  2181.95    48.89     5.43     1.25
TJH        710    29.1     19.8       7.1       35   50       38     40.2     8.65   108.08     0.44     3.04     0.04   585.98  1129.80 11657.19  1525.26    48.36     5.36     1.14
DG         744    34.3     18.6       4.9       92   93      124    46.18     21.9   108.26     0.87     4.53     0.18   560.77  2192.20  7533.02  1307.18    49.02     6.30     1.75
DG         700    34.4     20.9       5.9      109  114      130    55.12    23.36    96.46     1.19     4.15     0.26   998.48   767.30  6762.01  1321.82    48.49     5.74     0.84
DG         714    28.9     19.7       6.4       55   57       25    44.72    12.27   106.88     0.93      4.3    0.225   505.08   822.01  9750.20  1630.79    49.41     5.82     0.95
DG         667    32.4     19.5       4.6       83   95       63    55.12    31.02    89.15     1.08      3.7     0.25   530.01   765.21  7423.91  1283.48    49.08     5.70     0.92
DG         600    29.1     17.5         6       77   80       65    38.36    18.08    64.33     0.79     2.62     0.16   561.44   735.41 10139.43  1461.33    49.53     5.71     0.81
DG         777    33.4     21.1       7.1       95  103      104    51.47     35.9   116.95     1.08     4.66      0.3   464.22   780.68 10453.89  1654.85    49.75     5.83     0.84
DG         640    34.5     18.6       6.1       94   87       70    56.66    26.51     90.9     1.02     3.48     0.25   506.90   779.69  7903.13  1366.02    49.96     5.89     0.95
DG         440    29.4     18.4       5.4       85   68      115    35.62     25.3    44.82     0.73     1.66      0.2   450.48   693.63 10852.86  2282.88    48.91     5.73     0.82
DG         715    39.5     19.7       5.3       85   74       60    58.99     37.4   103.79      1.2     4.24     0.33   423.50   815.61  9142.87  1413.79    48.98     5.74     0.78
DG         573      33     15.8       4.8       95  118      108    47.33    39.33     64.5     1.05     2.84     0.37   468.91   761.34  9444.36  1735.71    50.32     5.71     0.80
DG         586    33.8     19.1       5.4      104   94       85    44.33     31.1     79.7     1.02     2.99     0.28   411.71   854.51 10241.28  1516.11    50.07     5.57     0.87
DG         650    36.3     20.2       6.1      114   94       80    51.82    40.65    82.04     1.09     4.01     0.37   570.55   730.28 10418.01  1590.51    49.62     5.89     0.93
DG         480      27     18.1         7       56   74      116    26.91    13.91    56.91     0.64      2.2     0.12   637.09  1173.68  8823.88  1946.54    49.68     5.92     0.99
DG         545    30.3     17.3       5.5       85   88      130    45.05    24.85    61.89     0.84     2.35     0.22   774.26   747.67 10674.37  1719.34    49.61     5.88     0.84
DG         845    37.3     19.3         6       80   50       40    49.51    17.92   130.04     1.29     5.89     0.25   675.24   753.93  6764.15  1758.92    50.45     5.84     0.99
DG         560    42.1     14.6       3.5      105  104       75    44.66       30    55.83     0.97     2.03     0.24   429.95   798.83 10031.34  1312.23    49.64     5.79     0.88
DG         450    31.2     20.6       7.1       67   72       81    36.77    13.96    50.87     0.79     1.91     0.13   686.45  1697.49 11100.21  1883.24    49.88     5.72     1.24
DG         600    34.6     17.1       6.1       88   76      104    42.29    23.67    76.21     1.03     3.03     0.22   559.23   908.53  6878.39  1561.18    50.08     5.50     1.14
DG         607    33.5     14.8       1.6       75   68      110    48.88    26.01    71.81      1.1     2.94     0.23   611.18   905.81  6677.48  1433.53    49.76     5.83     0.97
DG         675    31.4     16.3      14.8       70   55       70     34.8     18.2    50.48      0.9     2.16     0.18   579.38  1073.81  7214.10  1768.09    50.25     5.65     1.24
DG         550    29.4     17.6       4.9       75   55       50    37.18    16.16    62.34     0.93     2.45     0.18   932.54   960.08  3599.58  2362.73    50.27     5.27     1.05
