Island Area Nspecies LogArea LogSpecies
Albemarle 7498.166 325 3.874955051 2.511883361
Charles 213.376 319 2.329145569 2.503790683
Chatham 650.13 306 2.813000207 2.485721426
James 676.802 224 2.830461633 2.350248018
Indefatigable 1296.926 193 3.112915197 2.285557309
Abingdon 66.68 119 1.823995591 2.075546961
Duncan 23.6714 103 1.374223944 2.012837225
Narborough 816.83 80 2.91213168 1.903089987
Hood 60.012 79 1.778238101 1.897627091
Seymour 3.334 52 0.522965595 1.716003344
Barringon 25.005 48 1.398026859 1.681241237
Gardner 0.6668 48 -0.176004409 1.681241237
Bindloe 150.03 47 2.176178109 1.672097858
Jervis 6.23458 42 0.794807202 1.62324929
Tower 14.6696 22 1.166418272 1.342422681
outlier NA NA 3.000 0.650
Wenman 6.0012 14 0.778238101 1.146128036
Culpepper 3.0006 7 0.477208105 0.84509804
