Treatment RootGrowthRate(mm/d)
Control -0.05
Control 0.19
Control 0.84
Control 0.11
Control 0.08
Control -0.18
Control 0.38
Control 1.04
Control 0.55
Control 0.24
Control 0.49
Control -0.41
Control 0.30
Control 1.03
Foam 0.73
Foam 0.56
Foam 0.98
Foam 0.53
Foam 0.32
Foam 0.95
Foam 0.55
Foam 1.18
Foam 0.58
Foam 0.36
Foam 0.18
Foam 1.71
Foam 0.65
Foam 0.69
Haliclona 0.68
Haliclona 1.24
Haliclona 0.47
Haliclona 1.28
Haliclona 0.60
Haliclona 1.01
Haliclona 1.35
Haliclona 1.02
Haliclona 0.75
Haliclona 0.40
Haliclona 0.37
Haliclona 0.46
Haliclona 0.47
Haliclona 0.61
Tedania 0.63
Tedania 0.86
Tedania 0.92
Tedania 0.09
Tedania 1.66
Tedania 0.88
Tedania 0.68
Tedania 1.02
Tedania 1.17
Tedania 1.18
Tedania 1.71
Tedania 1.01
Tedania 0.42
Tedania 0.56
