decline invaded protected light frequency
yes no no 0 2
yes no no 1 0
yes no no 2 2
yes no no 3 2
yes no no 4 0
yes yes no 0 1
yes yes no 1 0
yes yes no 2 0
yes yes no 3 7
yes yes no 4 4
yes no yes 0 1
yes no yes 1 0
yes no yes 2 1
yes no yes 3 1
yes no yes 4 0
yes yes yes 0 1
yes yes yes 1 0
yes yes yes 2 0
yes yes yes 3 2
yes yes yes 4 2
no no no 0 0
no no no 1 0
no no no 2 1
no no no 3 1
no no no 4 4
no yes no 0 1
no yes no 1 1
no yes no 2 2
no yes no 3 2
no yes no 4 3
no no yes 0 3
no no yes 1 1
no no yes 2 0
no no yes 3 14
no no yes 4 2
no yes yes 0 0
no yes yes 1 0
no yes yes 2 4
no yes yes 3 6
no yes yes 4 2
