Sitename Sitenum Atlantic Current longitude latitude ShellBreadth ShellHeight Columella ApertureWidth ApertureLength Proportionality Circularity Spireheight N.Telochonc.Whorls N.Protochonch.Whorls Whorl.First.Primary N.Primary.Whorls Whorl.Axial.Striae Whorl.Secondary.Groove Regularity.Secondary.Groove Whorl.Tertiary.Groove Whorl.Spiral.Striae Columella.Color Columella.Morphology
Cuba 0 West GulfofMex 85 23 12.6 19.4 1.5 7.7 9.8 1.54 0.79 1.98 7 0 3 8 2 5 0 6 6 0 0
Cuba 0 West GulfofMex 85 23 13.3 20.9 1.3 8.6 10.8 1.57 0.80 1.94 7 0 3 5 3 4 0 0 0 0 0
Cuba 0 West GulfofMex 85 23 11.1 17 1.6 7.1 9 1.53 0.79 1.89 7 3 3 4 3 5 0 7 0 0 0
Cuba 0 West GulfofMex 85 23 12.8 18.4 2.1 7.9 10.9 1.44 0.72 1.69 6 0 2 4 2 4 1 6 0 0 0
Cuba 0 West GulfofMex 85 23 12.3 17.4 1.3 7.2 9.8 1.41 0.73 1.78 7 0 3 3 2 6 1 0 5 0 0
Cuba 0 West GulfofMex 85 23 11.2 16.3 1.4 6.8 8.7 1.46 0.78 1.87 7 0 3 5 3 5 0 0 0 0 2
Cuba 0 West GulfofMex 85 23 10.9 16.4 1.3 6.4 8 1.50 0.80 2.05 7 0 2 NA 3 5 1 7 0 0 2
Cuba 0 West GulfofMex 85 23 12.3 16.9 1.7 7.3 9.3 1.37 0.78 1.82 7 0 3 3 2 5 0 7 5 1 0
Cuba 0 West GulfofMex 85 23 12.8 18.5 2 7.9 9.6 1.45 0.82 1.93 7 0 3 4 3 4 0 0 7 0 1
Cuba 0 West GulfofMex 85 23 10.8 15.4 1.5 6.8 8.7 1.43 0.78 1.77 6 0 2 5 2 4 0 6 4 0 1
Cuba 0 West GulfofMex 85 23 14.4 21.6 1.9 8.8 11.7 1.50 0.75 1.85 7 0 2 3 2 7 1 0 3 0 0
Cuba 0 West GulfofMex 85 23 10.5 16.6 1.5 6.9 9 1.58 0.77 1.84 7 0 4 8 2 6 0 0 0 0 0
Cuba 0 West GulfofMex 85 23 14.2 22.4 1.6 7.9 10.9 1.58 0.72 2.06 7 0 2 3 2 4 0 7 5 0 0
Cuba 0 West GulfofMex 85 23 10.5 15.1 1.4 6.4 8 1.44 0.80 1.89 6 3 2 3 2 4 0 6 5 0 0
Cuba 0 West GulfofMex 85 23 9.2 13.8 1.1 5.9 8 1.50 0.74 1.73 6 3 2 3 2 4 0 6 5 0 0
Cuba 0 West GulfofMex 85 23 14 21 2.1 8.9 11 1.50 0.81 1.91 7 0 3 4 3 5 0 7 5 1 1
Cuba 0 West GulfofMex 85 23 11 16.4 1.6 7 9.4 1.49 0.74 1.74 7 0 3 3 3 5 0 0 0 0 5
Cuba 0 West GulfofMex 85 23 12 18.1 1.8 7.7 9.2 1.51 0.84 1.97 7 0 3 5 1 5 0 0 5 0 0
Cuba 0 West GulfofMex 85 23 10.2 14 1.7 6.1 8.2 1.37 0.74 1.71 6 0 3 8 2 5 0 6 5 0 2
Cuba 0 West GulfofMex 85 23 14 20.8 1.5 8.8 10.8 1.49 0.81 1.93 7 0 3 6 3 5 0 0 5 0 0
Brazil 1 West NorthEqu 50 0 19.9 28 2.6 12.1 16.5 1.41 0.73 1.70 7 0 1 6 2 4 0 7 7 0 0
Brazil 1 West NorthEqu 50 0 15.4 22.8 2.4 10.5 13.2 1.48 0.80 1.73 7 0 2 4 2 4 0 6 6 0 0
Brazil 1 West NorthEqu 50 0 10.4 14.6 1.3 6.5 9 1.40 0.72 1.62 6 0 1 3 1 6 0 0 5 0 0
Brazil 1 West NorthEqu 50 0 13.1 17.9 1.6 7.8 10.4 1.37 0.75 1.72 7 0 2 5 2 5 0 7 5 0 0
Brazil 1 West NorthEqu 50 0 14.3 20.4 1.9 8.5 11.9 1.43 0.71 1.71 7 0 2 3 2 5 0 0 6 0 0
Brazil 1 West NorthEqu 50 0 16.8 23.3 2.7 9.7 13.5 1.39 0.72 1.73 7 0 2 4 2 5 0 0 0 1 0
Brazil 1 West NorthEqu 50 0 17.4 25.6 2.9 11.4 15.1 1.47 0.75 1.70 7 0 2 4 3 4 0 7 0 0 0
Brazil 1 West NorthEqu 50 0 16.2 23.2 2.1 10.4 14 1.43 0.74 1.66 7 0 2 4 1 4 0 0 0 1 0
Brazil 1 West NorthEqu 50 0 19.8 32.4 2.9 13.1 18.5 1.64 0.71 1.75 7 0 2 3 2 4 0 6 0 0 1
Brazil 1 West NorthEqu 50 0 15.1 21.9 2.1 9.4 12.6 1.45 0.75 1.74 7 0 3 5 2 5 0 6 0 0 0
