"","Allens Pond","Boston Nature Center","Brooks Woodland","Daniel Webster","Doyle Center","Drumlin Farm","Elm Hill","Graves Farm","Moose Hill","Nashoba Brook","Old Town Hill","Peaked Mountain"
"aphful",0,0,0,0,0,0,0,0,0,0,0,0
"aphrud",0,0,1,0,1,3,0,0,0,2,1,4
"bradep",0,0,0,0,0,1,0,0,0,0,1,0
"camchr",0,0,0,0,0,0,0,0,0,0,0,0
"camher",0,0,0,0,0,0,0,0,0,0,0,0
"camnea",0,0,0,0,0,0,0,0,0,0,0,0
"camnov",0,0,0,0,0,0,0,0,0,0,0,0
"campen",0,0,0,0,0,0,0,0,0,0,0,0
"crelin",0,0,0,0,0,0,0,0,0,0,0,0
"dolpla",0,0,0,0,0,0,0,0,0,0,0,0
"forinc",0,0,0,0,0,0,1,0,1,0,3,2
"forlas",0,0,0,0,0,0,0,0,0,0,2,0
"forneo1",0,0,1,0,0,4,0,0,0,2,0,0
"forneo2",0,0,0,0,1,0,0,0,0,0,0,0
"fornep",0,0,0,0,0,0,0,0,0,0,0,0
"forper",0,0,0,0,0,0,0,0,0,0,0,2
"forsub1",0,0,0,0,0,0,0,0,0,0,0,0
"forsub3",0,0,0,0,0,2,0,0,0,0,0,1
"lasali",0,0,0,0,0,0,0,0,0,0,3,0
"lascla",0,0,0,0,0,0,0,0,0,0,0,0
"lasfla",0,0,1,0,1,0,0,0,0,0,0,0
"laslat",0,0,0,0,0,0,0,0,0,0,0,0
"lasnea",0,0,0,0,0,0,0,0,0,0,0,0
"lasneo",9,0,4,1,3,0,15,1,12,0,3,11
"lasspe",0,0,0,0,0,0,0,0,0,0,0,0
"lasumb",0,0,0,0,0,2,0,0,1,0,0,1
"myrame1",0,0,0,0,0,0,0,0,0,0,0,0
"myrame2",0,0,0,0,0,0,0,0,5,0,2,0
"myrdet",0,2,1,0,1,2,4,0,12,0,1,0
"myrinc",0,0,0,0,0,0,0,0,0,0,0,0
"myrnea",0,0,0,0,0,0,2,5,1,0,0,0
"myrpun",0,1,2,0,0,0,0,0,0,0,0,0
"myrrub",0,4,0,8,0,0,0,0,0,0,0,0
"ponpen",0,0,0,0,0,0,0,0,0,0,1,1
"preimp",0,0,0,4,1,1,0,0,0,0,0,0
"proame",0,0,0,0,0,0,0,0,0,0,0,0
"solmol",0,0,0,0,0,1,0,0,0,1,0,0
"stebre",0,0,0,7,0,1,0,0,3,0,0,0
"steimp",0,0,0,0,0,1,0,0,0,0,0,0
"tapses",1,4,2,0,0,0,0,3,0,2,1,4
"temamb",0,0,0,0,0,2,0,1,0,2,0,1
"temcur",0,0,0,0,0,0,0,0,0,0,0,1
"temlon",0,0,0,0,0,0,0,0,0,0,0,0
"tetcae",0,0,0,0,4,0,1,0,0,13,1,0
