,m,Richness,sd,95% LCL,95% UCL
1,1,6.5,0.95,4.64,8.36
2,2,10.97,1.29,8.44,13.5
3,3,14.28,1.41,11.52,17.04
4,5,18.94,1.45,16.1,21.77
5,6,20.64,1.43,17.83,23.44
6,7,22.03,1.41,19.26,24.8
7,8,23.18,1.39,20.44,25.91
8,10,24.88,1.37,22.2,27.56
9,11,25.5,1.37,22.82,28.18
10,12,26,1.38,23.29,28.71
11,13,26.4,1.42,23.63,29.18
12,14,26.73,1.47,23.85,29.6
13,15,26.99,1.53,23.99,29.98
14,16,27.2,1.6,24.06,30.33
15,17,27.37,1.68,24.08,30.65
16,18,27.5,1.75,24.07,30.93
17,19,27.61,1.82,24.04,31.18
18,20,27.7,1.89,24,31.39
19,21,27.77,1.95,23.96,31.58
20,22,27.83,2,23.91,31.75
21,23,27.87,2.05,23.86,31.88
22,24,27.91,2.09,23.82,32
23,25,27.94,2.12,23.77,32.1
24,26,27.96,2.16,23.74,32.19
25,27,27.98,2.18,23.7,32.26
26,28,28,2.21,23.67,32.32
27,29,28.01,2.23,23.65,32.38
