"CommunityType (Habitat)","Site (Sample)","Code (Species)","AntGenus","AntSpecies"
"Cultural Grassland","Allens Pond","lasneo","Lasius","neoniger"
"Cultural Grassland","Allens Pond","lasneo","Lasius","neoniger"
"Cultural Grassland","Allens Pond","lasneo","Lasius","neoniger"
"Cultural Grassland","Allens Pond","lasneo","Lasius","neoniger"
"Cultural Grassland","Allens Pond","lasneo","Lasius","neoniger"
"Cultural Grassland","Allens Pond","lasneo","Lasius","neoniger"
"Cultural Grassland","Allens Pond","lasneo","Lasius","neoniger"
"Cultural Grassland","Allens Pond","lasneo","Lasius","neoniger"
"Cultural Grassland","Allens Pond","tapses","Tapinoma","sessile"
"Cultural Grassland","Allens Pond","lasneo","Lasius","neoniger"
"Cultural Grassland","Boston Nature Center","myrrub","Myrmica","rubra"
"Cultural Grassland","Boston Nature Center","tapses","Tapinoma","sessile"
"Cultural Grassland","Boston Nature Center","myrpun","Myrmica","punctiventris"
"Cultural Grassland","Boston Nature Center","tapses","Tapinoma","sessile"
"Cultural Grassland","Boston Nature Center","myrdet","Myrmica","detritinodis"
"Cultural Grassland","Boston Nature Center","myrrub","Myrmica","rubra"
"Cultural Grassland","Boston Nature Center","myrrub","Myrmica","rubra"
"Cultural Grassland","Boston Nature Center","tapses","Tapinoma","sessile"
"Cultural Grassland","Boston Nature Center","tapses","Tapinoma","sessile"
"Cultural Grassland","Boston Nature Center","myrdet","Myrmica","detritinodis"
"Cultural Grassland","Boston Nature Center","myrrub","Myrmica","rubra"
"Cultural Grassland","Brooks Woodland","myrdet","Myrmica","detritinodis"
"Cultural Grassland","Brooks Woodland","myrpun","Myrmica","punctiventris"
"Cultural Grassland","Brooks Woodland","lasneo","Lasius","neoniger"
"Cultural Grassland","Brooks Woodland","aphrud","Aphaenogaster ","rudis"
"Cultural Grassland","Brooks Woodland","lasneo","Lasius","neoniger"
"Cultural Grassland","Brooks Woodland","lasneo","Lasius","neoniger"
"Cultural Grassland","Brooks Woodland","forneo1","Formica ","neogagates"
"Cultural Grassland","Brooks Woodland","tapses","Tapinoma","sessile"
"Cultural Grassland","Brooks Woodland","tapses","Tapinoma","sessile"
"Cultural Grassland","Brooks Woodland","myrpun","Myrmica","punctiventris"
"Cultural Grassland","Brooks Woodland","lasneo","Lasius","neoniger"
"Cultural Grassland","Brooks Woodland","lasfla","Lasius","flavus"
"Cultural Grassland","Daniel Webster","stebre","Stenamma","brevicorne"
"Cultural Grassland","Daniel Webster","stebre","Stenamma","brevicorne"
"Cultural Grassland","Daniel Webster","lasneo","Lasius","neoniger"
"Cultural Grassland","Daniel Webster","stebre","Stenamma","brevicorne"
"Cultural Grassland","Daniel Webster","myrrub","Myrmica","rubra"
"Cultural Grassland","Daniel Webster","myrrub","Myrmica","rubra"
"Cultural Grassland","Daniel Webster","myrrub","Myrmica","rubra"
"Cultural Grassland","Daniel Webster","myrrub","Myrmica","rubra"
"Cultural Grassland","Daniel Webster","preimp","Prenolepis","imparis"
"Cultural Grassland","Daniel Webster","myrrub","Myrmica","rubra"
"Cultural Grassland","Daniel Webster","myrrub","Myrmica","rubra"
"Cultural Grassland","Daniel Webster","preimp","Prenolepis","imparis"
"Cultural Grassland","Daniel Webster","myrrub","Myrmica","rubra"
"Cultural Grassland","Daniel Webster","myrrub","Myrmica","rubra"
"Cultural Grassland","Daniel Webster","preimp","Prenolepis","imparis"
"Cultural Grassland","Daniel Webster","preimp","Prenolepis","imparis"
"Cultural Grassland","Daniel Webster","stebre","Stenamma","brevicorne"
"Cultural Grassland","Daniel Webster","stebre","Stenamma","brevicorne"
"Cultural Grassland","Daniel Webster","stebre","Stenamma","brevicorne"
