,m,Richness,sd,95% LCL,95% UCL
1,1,8.36,1.38,5.66,11.07
2,2,12.73,1.52,9.75,15.71
3,3,15.87,1.56,12.82,18.92
4,4,18.24,1.53,15.24,21.25
5,5,20.12,1.49,17.2,23.04
6,7,22.88,1.41,20.12,25.65
7,8,23.92,1.38,21.21,26.62
8,9,24.76,1.36,22.09,27.44
9,10,25.45,1.36,22.78,28.12
10,11,26,1.38,23.3,28.7
11,12,26.43,1.41,23.66,29.2
12,13,26.77,1.47,23.89,29.65
13,14,27.04,1.54,24.02,30.06
14,15,27.25,1.62,24.08,30.43
15,16,27.42,1.7,24.08,30.75
16,17,27.55,1.78,24.06,31.04
17,18,27.65,1.85,24.02,31.28
18,19,27.74,1.92,23.98,31.5
19,20,27.8,1.98,23.92,31.68
20,21,27.85,2.03,23.87,31.83
21,22,27.89,2.08,23.83,31.96
22,23,27.93,2.11,23.78,32.07
23,24,27.95,2.15,23.74,32.16
24,25,27.97,2.18,23.71,32.24
25,26,27.99,2.2,23.67,32.3
26,27,28,2.22,23.65,32.35
