"","m","Richness","sd","95% LCL","95% UCL"
"1",1,7.2,1.42,4.42,9.98
"2",1,7.2,1.42,4.42,9.98
"3",2,11.2,1.79,7.69,14.71
"4",2,11.2,1.79,7.69,14.71
"5",3,14,1.99,10.09,17.91
"6",3,14,1.99,10.09,17.91
"7",4,16.2,2.17,11.95,20.45
"8",4,16.2,2.17,11.95,20.45
"9",5,18,2.36,13.37,22.63
"10",5,18,2.36,13.37,22.63
"11",6,19.47,2.6,14.37,24.57
"12",7,20.68,2.89,15.01,26.35
"13",8,21.66,3.23,15.34,27.99
"14",9,22.47,3.58,15.45,29.49
"15",10,23.13,3.95,15.39,30.87
"16",11,23.67,4.31,15.23,32.11
"17",12,24.11,4.65,15,33.22
"18",13,24.47,4.97,14.74,34.21
"19",14,24.77,5.26,14.46,35.07
"20",15,25.01,5.52,14.19,35.83
"21",16,25.21,5.76,13.92,36.5
"22",17,25.37,5.97,13.67,37.07
"23",18,25.5,6.16,13.44,37.57
"24",19,25.61,6.32,13.22,38
"25",20,25.7,6.46,13.03,38.37
"26",21,25.77,6.59,12.86,38.69
"27",22,25.83,6.7,12.71,38.96
"28",23,25.88,6.79,12.57,39.19
"29",24,25.92,6.87,12.46,39.38
"30",25,25.95,6.94,12.36,39.55
"31",26,25.98,7,12.27,39.69
"32",27,26,7.05,12.19,39.81
"33",28,26.02,7.09,12.12,39.92
"34",29,26.03,7.13,12.07,40
"35",30,26.05,7.16,12.02,40.07
"36",31,26.06,7.18,11.98,40.14
