"Genus.Species","Girdled","Hardwood","Hemlock","Logged"
"Agelenopsis.utahana",0,0,1,1
"Agroeca.ornata",15,15,2,10
"Amaurobius.borealis",46,59,27,22
"Callobius.bennetti",2,2,4,3
"Castianeira.longipalpa",0,0,0,3
"Centromerus.cornupalpis",0,1,0,0
"Centromerus.persolutus",0,0,1,0
"Ceraticelus.minutus",1,0,1,1
"Ceratinella.brunnea",6,0,3,4
"Cicurina.arcuata",1,5,0,1
"Cicurina.brevis",1,0,0,0
"Cicurina.pallida",0,1,0,0
"Cicurina.robusta",1,0,0,1
"Collinsia.oxypaederotipus",2,1,0,2
"Coras.juvenilis",0,0,1,0
"Cryphoeca.montana",1,1,2,2
"Dictyna.minuta",0,1,0,0
"Emblyna.sublata",0,1,0,0
"Eperigone.brevidentata",1,0,1,0
"Eperigone.maculata",1,1,1,0
"Habronattus.viridipes",0,0,0,4
"Helophora.insignis",0,1,0,0
"Hogna.frondicola",0,0,0,2
"LinytoID.ms_bracket_(species5)",0,5,1,0
"LinyToID.sp1",0,1,0,0
"LinyToID.sp2",0,0,1,0
"Meioneta.simplex",15,0,2,8
"Microneta.viaria",0,0,0,1
"Naphrys.pulex",0,0,0,1
"Neoantistea.magna",17,26,11,15
"Neon.nelli",0,0,0,1
"Ozyptila.distans",0,1,0,0
"Pardosa.distincta",0,0,0,1
"Pardosa.moesta",0,0,0,13
"Pardosa.xerampelina",9,0,0,88
"Pelegrina.proterva",0,0,0,1
"Phidippus.whitmani",0,0,0,1
"Phrurotimpus.alarius",1,9,0,8
"Phrurotimpus.borealis",1,0,0,5
"Pirata.montanus",22,95,20,16
"Pocadicnemis.americana",2,1,0,0
"Robertus.riparius",0,6,0,1
"Scylaceus.pallidus",0,0,0,1
"Tapinocyba.minuta",4,0,2,4
"Tapinocyba.simplex",0,0,0,1
"Tenuiphantes.sabulosus",0,1,1,0
"Tenuiphantes.zebra",6,0,2,3
"Trochosa.terricola",0,0,0,2
"unk_toID.ms_ventral_spike",1,1,0,0
"Wadotes.calcaratus",1,1,4,0
"Wadotes.hybridus",8,10,12,7
"Walckenaeria.digitata",1,0,0,0
"Walckenaeria.directa",2,1,4,3
"Walckenaeria.pallida",0,1,2,1
"Xysticus.elegans",0,1,0,0
"Xysticus.fraternus",0,1,0,0
"Zelotes.duplex",0,0,0,7
"Zelotes.fratris",0,0,0,7
