StartDate,EndDate,Block,Treatment,Plot,Replicate,SamplingMethod,Family,Genus,Species,Males,Females,Immature
20080718,20080728,Valley,Girdled,1,5,Litter_sifting,LINYPHIIDAE,Ceraticelus,laetabilis,0,2,0
20080519,20080529,Valley,Girdled,1,3,Litter_sifting,SALTICIDAE,immSalt,sp.,0,0,2
20080922,20081002,Valley,Girdled,1,1,Litter_sifting,LINYPHIIDAE,immLiny,sp.,0,0,16
20080718,20080728,Valley,Girdled,1,5,Litter_sifting,AMAUROBIIDAE,immAmau,sp.,0,0,4
20080718,20080728,Valley,Girdled,1,5,Litter_sifting,THOMISIDAE,immThom,sp.,0,0,1
20080718,20080728,Valley,Girdled,1,5,Litter_sifting,HAHNIIDAE,Neoantistea,magna,1,0,0
20080922,20081002,Valley,Girdled,1,1,Litter_sifting,CORINNIDAE,immCori,sp.,0,0,2
20080718,20080728,Valley,Girdled,1,5,Litter_sifting,LINYPHIIDAE,Ceratinella,brunnea,1,1,0
20080922,20081002,Valley,Girdled,1,1,Litter_sifting,LIOCRANIDAE,immLioc,sp.,0,0,1
20080718,20080728,Valley,Girdled,1,5,Litter_sifting,LINYPHIIDAE,Collinsia,oxypaederotipus,0,2,0
20080519,20080529,Valley,Girdled,1,3,Litter_sifting,LINYPHIIDAE,Ceratinella,brunnea,1,1,0
20080519,20080529,Valley,Girdled,1,3,Litter_sifting,LINYPHIIDAE,Tapinocyba,minuta,0,3,0
20080519,20080529,Valley,Girdled,1,3,Litter_sifting,LINYPHIIDAE,Ceraticelus,fissiceps,1,1,0
20080519,20080529,Valley,Girdled,1,3,Litter_sifting,LINYPHIIDAE,Ceraticelus,laetabilis,1,0,0
20080922,20081002,Valley,Girdled,1,5,Litter_sifting,LIOCRANIDAE,Agroeca,ornata,1,0,0
20080718,20080728,Valley,Girdled,1,5,Litter_sifting,LINYPHIIDAE,Tapinocyba,minuta,0,1,0
20080922,20081002,Valley,Girdled,1,2,Litter_sifting,DICTYNIDAE,immDict,sp.,0,0,2
20080922,20081002,Valley,Girdled,1,2,Litter_sifting,LINYPHIIDAE,Sisicottus,montanus,1,0,0
20080922,20081002,Valley,Girdled,1,2,Litter_sifting,LINYPHIIDAE,Walckenaeria,pallida,1,0,0
20080922,20081002,Valley,Girdled,1,2,Litter_sifting,LYCOSIDAE,immLyco,sp.,0,0,5
20080922,20081002,Valley,Girdled,1,2,Litter_sifting,CORINNIDAE,immCori,sp.,0,0,4
20080922,20081002,Valley,Girdled,1,2,Litter_sifting,SALTICIDAE,immSalt,sp.,0,0,10
20080922,20081002,Valley,Girdled,1,1,Litter_sifting,AMAUROBIIDAE,immAmau,sp.,0,0,4
20080922,20081002,Valley,Girdled,1,2,Litter_sifting,LINYPHIIDAE,immLiny,sp.,0,0,37
20080519,20080529,Valley,Girdled,1,3,Litter_sifting,HAHNIDAE,immHahn,sp.,0,0,1
