Habitat,Sample,Species,ARC,BH,CAR,CB,CHI,CKB,COL,HAW,HBC,MOL,MOO,OB,PEA,PK,QP,RP,SKP,SNA,SPR,SW,TPB,WIN
Bog,EarlySeason,camher,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bog,EarlySeason,camnov,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,2
Bog,EarlySeason,campen,,,,,,,,,,,,,,,,,,,,,,
Bog,EarlySeason,dolpla,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bog,EarlySeason,dolpus,1,7,2,6,2,0,0,0,3,0,1,0,6,1,0,7,0,0,0,0,0,5
Bog,EarlySeason,forneo2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Bog,EarlySeason,forsub1,0,8,0,0,0,13,0,0,0,0,2,0,6,0,0,0,2,0,0,20,3,8
Bog,EarlySeason,forsub3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bog,EarlySeason,lasali,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Bog,EarlySeason,lasspe,,,,,,,,,,,,,,,,,,,,,,
Bog,EarlySeason,lasumb,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bog,EarlySeason,lepmus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Bog,EarlySeason,myrlob,13,24,1,2,23,13,0,14,16,12,19,21,23,25,6,20,22,10,7,2,8,6
Bog,EarlySeason,myrpun,,,,,,,,,,,,,,,,,,,,,,
Bog,EarlySeason,myrscu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Bog,EarlySeason,myrsmi,,,,,,,,,,,,,,,,,,,,,,
Bog,EarlySeason,stebre,,,,,,,,,,,,,,,,,,,,,,
Bog,EarlySeason,tapses,6,3,2,9,0,0,0,0,7,0,2,0,0,0,0,3,0,12,0,0,0,0
Bog,EarlySeason,temamb,,,,,,,,,,,,,,,,,,,,,,
Bog,LateSeason,camher,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bog,LateSeason,camnov,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0
Bog,LateSeason,campen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Bog,LateSeason,dolpla,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bog,LateSeason,dolpus,0,2,0,2,4,5,0,0,2,1,1,0,5,0,1,5,0,2,0,1,0,1
Bog,LateSeason,forneo2,,,,,,,,,,,,,,,,,,,,,,
Bog,LateSeason,forsub1,0,7,0,0,0,12,0,0,0,0,4,0,10,0,0,0,2,0,0,22,7,17
Bog,LateSeason,forsub3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Bog,LateSeason,lasali,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Bog,LateSeason,lasspe,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bog,LateSeason,lasumb,,,,,,,,,,,,,,,,,,,,,,
Bog,LateSeason,lepmus,,,,,,,,,,,,,,,,,,,,,,
Bog,LateSeason,myrlob,18,15,4,3,24,16,0,15,15,17,20,21,24,25,9,19,18,12,7,2,10,7
Bog,LateSeason,myrpun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bog,LateSeason,myrscu,,,,,,,,,,,,,,,,,,,,,,
Bog,LateSeason,myrsmi,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bog,LateSeason,stebre,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bog,LateSeason,tapses,7,0,6,1,0,0,0,0,2,0,1,0,0,0,0,6,0,1,0,0,0,0
Bog,LateSeason,temamb,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Forest,EarlySeason,ambpal,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Forest,EarlySeason,aphrud,5,0,0,2,2,19,8,5,18,2,0,9,0,3,0,9,12,0,6,6,0,0
Forest,EarlySeason,camher,0,0,8,0,2,0,0,0,0,2,3,0,0,0,0,0,1,0,0,0,0,0
Forest,EarlySeason,camnea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0
Forest,EarlySeason,camnov,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0
Forest,EarlySeason,campen,3,2,0,0,0,1,5,0,5,0,0,1,0,8,0,7,0,0,0,5,2,0
Forest,EarlySeason,dolpus,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forest,EarlySeason,forarg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Forest,EarlySeason,forgla,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forest,EarlySeason,forneo1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Forest,EarlySeason,forobs,,,,,,,,,,,,,,,,,,,,,,
Forest,EarlySeason,forsub1,0,0,1,0,0,6,0,0,1,0,1,1,0,0,0,3,0,0,0,0,0,0
Forest,EarlySeason,forsub2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Forest,EarlySeason,forsub3,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,3,1,0,0,0,0,0
Forest,EarlySeason,lasali,0,0,3,0,3,0,2,0,0,0,1,0,3,0,5,0,2,1,0,0,0,0
Forest,EarlySeason,lasfla,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Forest,EarlySeason,lasneo,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
Forest,EarlySeason,lasspe,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Forest,EarlySeason,lasumb,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0
Forest,EarlySeason,myrame1,,,,,,,,,,,,,,,,,,,,,,
Forest,EarlySeason,myrdet,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Forest,EarlySeason,myrlob,0,0,0,0,0,3,0,0,1,0,13,0,0,0,1,1,0,0,0,0,0,0
Forest,EarlySeason,myrpun,1,0,0,10,0,13,17,0,8,0,0,1,0,10,0,12,5,0,4,8,1,1
Forest,EarlySeason,myrscu,0,0,1,0,0,0,0,0,2,0,0,0,0,1,6,9,3,0,0,1,0,0
Forest,EarlySeason,myrsmi,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0
Forest,EarlySeason,preimp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Forest,EarlySeason,stebre,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Forest,EarlySeason,stedie,0,3,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
Forest,EarlySeason,steimp,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0
Forest,EarlySeason,stesch,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Forest,EarlySeason,tapses,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Forest,EarlySeason,temamb,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forest,EarlySeason,temcur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Forest,EarlySeason,temlon,0,7,0,1,0,2,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
Forest,LateSeason,ambpal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Forest,LateSeason,aphrud,4,1,0,0,3,9,9,6,13,2,0,12,0,1,0,6,9,0,2,6,2,0
Forest,LateSeason,camher,0,1,11,0,1,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0
Forest,LateSeason,camnea,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Forest,LateSeason,camnov,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2
Forest,LateSeason,campen,0,3,0,0,0,0,3,2,7,0,0,4,0,1,0,17,1,0,3,2,4,0
Forest,LateSeason,dolpus,,,,,,,,,,,,,,,,,,,,,,
Forest,LateSeason,forarg,,,,,,,,,,,,,,,,,,,,,,
Forest,LateSeason,forgla,,,,,,,,,,,,,,,,,,,,,,
Forest,LateSeason,forneo1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0
Forest,LateSeason,forobs,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forest,LateSeason,forsub1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0
Forest,LateSeason,forsub2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
Forest,LateSeason,forsub3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,5,1,0,0,0,0,0
Forest,LateSeason,lasali,0,0,0,1,1,1,2,0,0,0,1,0,0,0,3,1,0,1,0,0,0,0
