"Habitat","Sample","Species","ARC","BH","CAR","CB","CHI","CKB","COL","HAW","HBC","MOL","MOO","OB","PEA","PK","QP","RP","SKP","SNA","SPR","SW","TPB","WIN"
"Bog","EarlySeason","camher",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bog","EarlySeason","camnov",4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,2
"Bog","EarlySeason","campen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bog","EarlySeason","dolpla",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bog","EarlySeason","dolpus",1,7,2,6,2,0,0,0,3,0,1,0,6,1,0,7,0,0,0,0,0,5
"Bog","EarlySeason","forneo2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Bog","EarlySeason","forsub1",0,8,0,0,0,13,0,0,0,0,2,0,6,0,0,0,2,0,0,20,3,8
"Bog","EarlySeason","forsub3",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bog","EarlySeason","lasali",0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bog","EarlySeason","lasspe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bog","EarlySeason","lasumb",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bog","EarlySeason","lepmus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Bog","EarlySeason","myrlob",13,24,1,2,23,13,0,14,16,12,19,21,23,25,6,20,22,10,7,2,8,6
"Bog","EarlySeason","myrpun",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bog","EarlySeason","myrscu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Bog","EarlySeason","myrsmi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bog","EarlySeason","stebre",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bog","EarlySeason","tapses",6,3,2,9,0,0,0,0,7,0,2,0,0,0,0,3,0,12,0,0,0,0
"Bog","EarlySeason","temamb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bog","LateSeason","camher",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Bog","LateSeason","camnov",1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0
"Bog","LateSeason","campen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Bog","LateSeason","dolpla",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bog","LateSeason","dolpus",0,2,0,2,4,5,0,0,2,1,1,0,5,0,1,5,0,2,0,1,0,1
"Bog","LateSeason","forneo2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bog","LateSeason","forsub1",0,7,0,0,0,12,0,0,0,0,4,0,10,0,0,0,2,0,0,22,7,17
"Bog","LateSeason","forsub3",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"Bog","LateSeason","lasali",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Bog","LateSeason","lasspe",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bog","LateSeason","lasumb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bog","LateSeason","lepmus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bog","LateSeason","myrlob",18,15,4,3,24,16,0,15,15,17,20,21,24,25,9,19,18,12,7,2,10,7
"Bog","LateSeason","myrpun",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Bog","LateSeason","myrscu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bog","LateSeason","myrsmi",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bog","LateSeason","stebre",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bog","LateSeason","tapses",7,0,6,1,0,0,0,0,2,0,1,0,0,0,0,6,0,1,0,0,0,0
"Bog","LateSeason","temamb",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
