"site","sample1","sample2","Latitude","Longitude","Elevation","Bog Area","GSF","LAI","date1","date2"
"ARC",1,0,42.31,72.43,95,1190,0.08,5.286,153,195
"BH",7,2,42.56,72.09,274,105369,0.093,2.506,160,202
"CAR",2,0,44.95,72.9,133,38023,0.059,3.047,153,295
"CB",6,2,42.05,73.3,210,73120,0.128,2.462,181,216
"CHI",2,4,44.33,72.48,362,38081,0.049,3.713,174,216
"CKB",0,5,42.03,71.67,152,7422,0.068,2.762,188,223
"COL",0,0,44.55,73.28,30,623284,0.052,3.867,160,202
"HAW",0,0,42.58,72.89,543,36813,0.121,2.822,175,217
"HBC",3,2,42,70.74,8,11760,0.092,3.453,191,241
"MOL",0,1,44.5,72.64,236,8852,0.057,4.417,153,195
"MOO",1,1,44.76,71.74,353,864970,0.062,4.795,174,216
"OB",0,0,42.23,73.06,491,89208,0.061,3.128,174,209
"PEA",6,5,44.29,72.24,468,576732,0.077,3.993,160,202
"PK",1,0,42.19,71.1,47,491189,0.141,3.695,188,223
"QP",0,1,42.57,71.96,335,40447,0.153,2.457,160,202
"RP",7,5,42.17,72.7,78,10511,0.073,3.038,174,209
"SKP",0,0,42.05,70.2,1,55152,0.219,1.587,191,241
"SNA",0,2,44.06,73.27,313,248,0.168,1.713,167,209
"SPR",0,0,43.33,72.51,158,435,0.053,3.423,167,209
"SW",0,1,42.27,72.34,121,19699,0.063,3.11,153,195
"TPB",0,0,41.98,73.22,389,2877,0.049,5.368,181,216
"WIN",5,1,42.69,72,323,84235,0.063,4.497,167,202
