stand,s03,s05,s07,s09,s11
MA Athol 1,0,0,0,1,1
MA Athol 2,1,0,0,0,0
MA Athol 3,0,0,0,0,0
MA Athol 8,0,0,0,0,0
MA Barre 1,0,0,0,1,1
MA Barre 3,1,0,0,1,0
MA Belchertown 1,1,1,1,1,1
MA Belchertown 2,0,0,0,0,1
MA Belchertown 3,0,1,1,1,1
MA Bernardston 10,0,0,0,1,1
MA Bernardston 4,0,0,1,1,1
MA Bernardston 5,0,0,0,1,1
MA Bernardston 7,0,0,0,0,1
MA Easthampton 1,1,1,1,1,1
MA Easthampton 2,1,1,1,1,1
MA Easthampton 3,1,1,1,1,1
MA Easthampton 4,0,1,1,0,1
MA Greenfield 4,1,0,1,1,1
MA Greenfield 6,0,1,1,1,1
MA Greenfield 7,0,0,1,1,1
MA Greenfield 8,0,0,0,1,1
MA Hampden 3,1,1,1,1,1
MA Hampden 4,1,1,1,1,1
MA Ludlow 1,1,1,1,1,0
MA Monson 1,1,1,1,1,0
MA Monson 2,1,1,1,1,1
MA Monson 3,0,1,1,1,1
MA Mt Holyoke 1,1,1,1,1,1
MA Mt. Holyoke 3,0,0,1,1,1
MA Mt. Tom 1,0,1,1,1,1
MA Mt. Tom 2,0,1,1,1,1
MA Mt. Tom 3,0,1,1,1,1
MA North Brookfield 1,0,0,0,0,1
MA North Springfield 1,1,1,1,1,1
MA Northfield 12,0,0,0,1,1
MA Northfield 13,0,0,0,1,1
MA Northfield 9,0,0,0,1,1
MA Orange 11,0,0,1,1,1
MA Orange 3,1,1,1,1,0
MA Orange 5,0,0,0,1,0
MA Orange 9,1,1,1,1,1
MA Palmer 1,0,1,1,1,1
MA Shutesbury 1,0,1,0,1,0
MA Shutesbury 10,1,1,1,0,0
MA Shutesbury 3,1,0,1,1,1
MA Shutesbury 9,1,0,1,0,0
MA South Springfield 1,1,1,1,1,1
MA South Springfield 2,1,1,1,1,1
MA Southbridge 1,1,1,1,1,1
MA Southbridge 5,1,1,1,1,1
MA Southbridge 6,0,1,1,1,1
MA Warren 1,0,0,1,1,1
MA Warren 2,1,1,1,1,1
MA West Springfield 1,1,1,1,1,1
MA Williamsburg 2,1,1,1,1,1
MA Williamsburg 4,1,0,1,1,1
MA Williamsburg 6,0,0,1,1,1
MA Williamsburg 9,1,1,1,1,1
MA Winchendon 1,0,0,0,0,0
MA Winchendon 2,0,0,0,0,1
MA Winchendon 3,0,0,0,1,0
MA Windsor Dam 1,0,0,1,1,1
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
