history,flower
010,1
010,0
111,1
111,1
111,1
100,1
100,1
111,1
111,1
100,1
100,1
100,1
100,0
100,1
100,1
100,1
111,1
100,1
100,1
100,0
100,1
100,1
100,1
001,1
001,0
011,1
111,1
111,1
111,1
001,1
010,0
010,1
010,1
010,0
001,1
001,1
100,0
100,0
100,1
100,1
100,1
011,1
011,0
100,1
100,1
001,1
001,0
001,0
101,0
101,0
101,0
001,1
010,1
110,0
110,0
101,0
101,0
001,0
100,0
100,0
100,0
100,0
010,1
001,1
011,1
101,1
101,1
101,1
101,0
101,1
101,1
101,1
101,1
101,0
101,1
101,1
101,0
101,0
101,0
100,1
100,0
111,1
111,1
110,1
110,1
110,0
010,0
111,0
111,1
111,0
111,1
111,1
111,1
111,1
111,0
111,0
111,1
111,1
001,1
111,0
110,0
111,1
010,0
111,1
111,1
010,0
111,1
111,1
111,1
111,1
110,1
010,1
010,1
010,1
001,1
101,1
101,0
111,1
111,0
111,1
111,1
111,1
111,1
111,0
111,1
111,0
111,1
111,0
111,0
111,0
111,0
111,1
111,1
111,1
111,0
111,0
111,0
111,1
111,0
111,0
111,0
111,1
111,1
111,1
111,1
111,0
111,1
111,0
111,0
111,0
111,0
111,0
111,0
111,1
011,0
011,0
111,1
111,0
111,0
111,0
011,0
111,1
111,1
111,1
111,1
111,1
011,0
111,1
111,1
111,0
111,0
111,0
111,0
111,0
111,0
111,1
111,1
111,1
011,0
010,0
001,1
011,1
011,0
011,0
011,0
011,0
011,0
001,0
001,0
011,1
011,1
001,1
101,0
101,1
101,1
101,1
111,1
101,1
101,1
101,1
101,1
101,1
111,1
101,1
101,0
011,1
011,1
011,1
011,0
111,1
100,1
100,0
100,1
100,1
