Latitude Elevation AntSpeciesDensity
41.9781 389.0000 6.0000
42.0033 8.0000 16.0000
42.0289 152.0000 18.0000
42.0494 1.0000 17.0000
42.0497 210.0000 9.0000
42.1744 78.0000 15.0000
42.1942 47.0000 7.0000
42.2347 491.0000 12.0000
42.2714 121.0000 14.0000
42.3097 95.0000 9.0000
42.5550 274.0000 10.0000
42.5675 335.0000 10.0000
42.5753 543.0000 4.0000
42.6864 323.0000 5.0000
43.3267 158.0000 7.0000
44.0581 313.0000 7.0000
44.2897 468.0000 4.0000
44.3250 362.0000 6.0000
44.4992 236.0000 6.0000
44.5453 30.0000 8.0000
44.7628 353.0000 6.0000
44.9539 133.0000 6.0000
