"Raw data used for analyses in Gotelli, N.J., and A.M. Ellison. 2006. Food-web models predict species abundance in response to habitat change. PLoS Biology 44(10): e324. DOI: 10.1371/journal.pbio.0040324",,,,,,,,,,
,,,,,,,,,,
Treatment: Leaf manipulations: A = Control; B = Trophic Removal; C = Habitat Expansion; D = Habitat Expansion & Trophic Removal; E = Habitat Contraction & Trophic Removal.,,,,,,,,,,
Leaf Age: X = Previous year?s leaf; A = First leaf; B = Second leaf.,,,,,,,,,,
Plant ID: Unique identification number for each plant assigned to an experimental treatment.,,,,,,,,,,
Leaf Volume: Average habitat volume (ml) for each leaf during the experiment.,,,,,,,,,,
Species (Protozoa ? Wyeomyia): Average abundance of individual taxa and prey measured in the experiment. Protozoa data were log2(x + 1) transformed.,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Treatment,Plant Age,Plant ID,Leaf Volume,ln(Protozoa),Metriocnemus,Fletcherimyia,Sarraceniopus,Habrotrocha,Prey,Wyeomyia
A,X,A5,5.65,0.9316,7,0.0714,0.2308,5.1429,0.8571,0.2857
A,A,A5,7.1375,4.2084,2.625,0.25,0.125,5.875,5.25,4
A,X,A29,2.0714,3.2728,3.0714,0.0714,0.7692,21.3846,0.2857,0.3571
A,A,A29,4.08,0,1.8,0,0.4,10,1.2,4.6
A,X,A1,0.5643,2.8861,0.2143,0,0,3.1538,0.2143,0
A,A,A1,3.6143,2.8983,3.1429,0,0.2857,3.4286,8,3.1429
A,X,A13,26.1571,2.1812,10.7857,0.0714,0.2857,5.7857,2.7143,3.2857
A,A,A13,2.6667,2.8717,2,0,0.1667,3.5,0,3.6667
A,A,A4,14.45,2.8717,11.1667,0,1.3333,10.3333,3.6667,1.6667
A,X,A7,8.0714,0,4.2143,0.0714,0.3846,8.3846,2.7143,0.7143
A,A,A7,2.4571,3.7809,0.8571,0,0,11.8571,0.7143,0
A,B,A7,7.7667,4.3307,6.25,0.75,0,3.25,2.25,1
A,X,A49,3.6857,8.0943,7.4286,0.8462,0.6154,27.0769,1.9231,0.7143
A,X,A45,1.5929,3.1813,2.2857,0,0.0769,2.1538,0.1429,0.4286
A,B,A45,1.1,0,2,0,0,1,0,7.5
A,X,A30,5.3429,2.2472,3.3571,0,0.3077,15.1538,1.0714,0.9286
A,B,A30,6.675,0,0.75,0,2,4,1,1.25
A,X,A15,2.3833,1.1451,1.3333,0,0.2143,8.6429,0.4286,0
A,A,A15,1.85,0,0.75,0.125,0.125,8.125,0.375,0
B,X,B32,0.1786,1.5782,0.4615,0,0.2308,4.6923,0.0769,0
