frySource,survival
wild,survived
wild,survived
wild,survived
wild,survived
wild,survived
wild,survived
wild,survived
wild,survived
wild,survived
wild,survived
wild,survived
wild,survived
wild,survived
wild,survived
wild,survived
wild,survived
wild,survived
wild,survived
wild,survived
wild,survived
wild,survived
wild,survived
wild,survived
wild,survived
wild,survived
wild,survived
wild,survived
wild,survived
wild,survived
wild,survived
wild,survived
wild,survived
wild,survived
wild,survived
wild,survived
wild,survived
wild,survived
wild,survived
wild,survived
wild,survived
wild,survived
wild,survived
wild,survived
wild,survived
wild,survived
wild,survived
wild,survived
wild,survived
wild,survived
wild,survived
wild,survived
hatchery,survived
hatchery,survived
hatchery,survived
hatchery,survived
hatchery,survived
hatchery,survived
hatchery,survived
hatchery,survived
hatchery,survived
hatchery,survived
hatchery,survived
hatchery,survived
hatchery,survived
hatchery,survived
hatchery,survived
hatchery,survived
hatchery,survived
hatchery,survived
hatchery,survived
hatchery,survived
hatchery,survived
hatchery,survived
hatchery,survived
hatchery,survived
hatchery,survived
hatchery,survived
hatchery,survived
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
wild,not caught
