"scientificName","commonName","criticalHabitat","speciesGroup","Status","specialRules","whereListed"
"Acanthorutilus handlirschi","Cicek (minnow)","N/A","Fishes","Endangered","N/A","Wherever found"
"Accipiter fasciatus natalis","Christmas Island goshawk","N/A","Birds","Endangered","N/A","Wherever found"
"Accipiter francesii pusillus","Anjouan Island sparrowhawk","N/A","Birds","Endangered","N/A","Wherever found"
"Accipiter gentilis laingi","Queen Charlotte goshawk","N/A","Birds","Threatened","N/A","British Columbia Canada"
"Accipiter striatus venator","Puerto Rican sharp-shinned hawk","N/A","Birds","Endangered","N/A","Wherever found"
"Achatinella spp.","Oahu tree snails","N/A","Snails","Endangered","N/A","Wherever found"
"Acinonyx jubatus","Cheetah","N/A","Mammals","Endangered","N/A","Wherever found"
"Acipenser brevirostrum","Shortnose sturgeon","N/A","Fishes","Endangered","N/A","Wherever found"
"Acipenser medirostris","green sturgeon","N/A","Fishes","Threatened","N/A","Southern DPS - See 50 CFR 223.102"
"Acipenser mikadoi","Sakhalin sturgeon","N/A","Fishes","Endangered","N/A","Wherever found"
"Acipenser naccarii","Adriatic sturgeon","N/A","Fishes","Endangered","N/A","Wherever found"
"Acipenser oxyrinchus (=oxyrhynchus) desotoi","Atlantic sturgeon (Gulf subspecies)","17.95(e)","Fishes","Threatened","17.44(v)","Wherever found"
"Acipenser oxyrinchus oxyrinchus","Atlantic sturgeon","N/A","Fishes","Endangered","N/A","Carolina DPS - See 50 CFR 224.101"
"Acipenser oxyrinchus oxyrinchus","Atlantic sturgeon","N/A","Fishes","Endangered","N/A","Chesapeake Bay DPS - See 50 CFR 224.101"
"Acipenser oxyrinchus oxyrinchus","Atlantic sturgeon","N/A","Fishes","Endangered","N/A","New York Bight DPS - See 50 CFR 224.101"
"Acipenser oxyrinchus oxyrinchus","Atlantic sturgeon","N/A","Fishes","Endangered","N/A","South Atlantic DPS - See 50 CFR 224.101"
"Acipenser oxyrinchus oxyrinchus","Atlantic sturgeon","N/A","Fishes","Threatened","N/A","Gulf of Maine DPS - See 50 CFR 223.102"
"Acipenser sinensis","Chinese sturgeon","N/A","Fishes","Endangered","N/A","Wherever found"
"Acipenser sturio","European sturgeon","N/A","Fishes","Endangered","N/A","Wherever found"
"Acipenser transmontanus","White sturgeon","17.95(e)","Fishes","Endangered","N/A","U.S.A. (ID MT) Canada (B.C.) (Kootenai R. system)"
"Acrocephalus familiaris kingi","Nihoa millerbird (old world warbler)","N/A","Birds","Endangered","N/A","Wherever found"
"Acrocephalus luscinia","Nightingale reed warbler (old world warbler)","N/A","Birds","Endangered","N/A","Wherever found"
"Acrocephalus percernis aquilonis","Eiao Marquesas reed-Warbler","N/A","Birds","Endangered","N/A","Wherever found"
"Acropora cervicornis","Staghorn coral","17.95(j)","Corals","Threatened","N/A","Wherever found"
"Acropora globiceps","No common name","N/A","Corals","Threatened","N/A","Wherever found"
"Acropora jacquelinae","No common name","N/A","Corals","Threatened","N/A","Wherever found"
"Acropora lokani","No common name","N/A","Corals","Threatened","N/A","Wherever found"
"Acropora palmata","Elkhorn coral","17.95(j)","Corals","Threatened","N/A","Wherever found"
"Acropora pharaonis","No common name","N/A","Corals","Threatened","N/A","Wherever found"
"Acropora retusa","No common name","N/A","Corals","Threatened","N/A","Wherever found"
"Acropora rudis","No common name","N/A","Corals","Threatened","N/A","Wherever found"
"Acropora speciosa","No common name","N/A","Corals","Threatened","N/A","Wherever found"
"Acropora tenella","No common name","N/A","Corals","Threatened","N/A","Wherever found"
"Addax nasomaculatus","Addax","N/A","Mammals","Endangered","N/A","Wherever found"
"Adelocosa anops","Kauai cave wolf or pe'e pe'e maka 'ole spider","17.95(g)","Arachnids","Endangered","N/A","Wherever found"
"Aepyceros melampus petersi","Black-faced impala","N/A","Mammals","Endangered","N/A","Wherever found"
"Aerodramus vanikorensis bartschi","Mariana gray swiftlet","N/A","Birds","Endangered","N/A","Wherever found"
"Agelaius xanthomus","Yellow-shouldered blackbird","17.95(b)","Birds","Endangered","N/A","Wherever found"
"Agelastes meleagrides","White-breasted guineafowl","N/A","Birds","Threatened","N/A","Wherever found"
"Ailuropoda melanoleuca","Giant panda","N/A","Mammals","Endangered","N/A","Wherever found"
"Aipysurus fuscus","Dusky sea snake","N/A","Reptiles","Endangered","N/A","Entire"
"Akialoa stejnegeri","Kauai akialoa (honeycreeper)","N/A","Birds","Endangered","N/A","Wherever found"
"Alasmidonta atropurpurea","Cumberland elktoe","17.95(f)","Clams","Endangered","N/A","Wherever found"
"Alasmidonta heterodon","Dwarf wedgemussel","N/A","Clams","Endangered","N/A","Wherever found"
"Alasmidonta raveneliana","Appalachian elktoe","17.95(f)","Clams","Endangered","N/A","Wherever found"
"Alauda razae","Raso lark","N/A","Birds","Endangered","N/A","Wherever found"
"Alcelaphus buselaphus swaynei","Swayne's hartebeest","N/A","Mammals","Endangered","N/A","Wherever found"
"Alcelaphus buselaphus tora","Tora hartebeest","N/A","Mammals","Endangered","N/A","Wherever found"
"Alethe choloensis","Thyolo alethe","N/A","Birds","Endangered","N/A","Wherever found"
"Alligator mississippiensis","American alligator","N/A","Reptiles","Similarity of Appearance to a Threatened Taxon","17.42(a) 23.57","Wherever found"
"Alligator sinensis","Chinese alligator","N/A","Reptiles","Endangered","N/A","Wherever found"
"Alouatta palliata","Mantled howler monkey","N/A","Mammals","Endangered","N/A","Wherever found"
"Alouatta pigra","Black howler monkey","N/A","Mammals","Threatened","17.40(c)","Wherever found"
"Amazilia luciae","Honduran emerald hummingbird","N/A","Birds","Endangered","N/A","Wherever found"
"Amazona arausiaca","Red-necked parrot","N/A","Birds","Endangered","N/A","Wherever found"
