nConvictions,record,conceptionWanted,familyIncome
0,no convictions,unwelcome,comfortable
0,no convictions,unwelcome,adequate
1,convicted,welcome,adequate
2,convicted,unwelcome,inadequate
3,convicted,NA,adequate
0,no convictions,welcome,inadequate
0,no convictions,NA,adequate
0,no convictions,welcome,comfortable
2,convicted,welcome,adequate
4,convicted,unwelcome,adequate
0,no convictions,welcome,adequate
1,convicted,NA,inadequate
12,convicted,welcome,inadequate
0,no convictions,wanted,adequate
0,no convictions,welcome,inadequate
0,no convictions,wanted,comfortable
2,convicted,wanted,adequate
0,no convictions,wanted,comfortable
0,no convictions,welcome,adequate
4,convicted,welcome,inadequate
0,no convictions,welcome,adequate
1,convicted,wanted,adequate
3,convicted,welcome,adequate
0,no convictions,wanted,comfortable
0,no convictions,wanted,comfortable
0,no convictions,welcome,comfortable
0,no convictions,unwelcome,comfortable
1,convicted,wanted,inadequate
0,no convictions,welcome,adequate
4,convicted,unwelcome,inadequate
0,no convictions,welcome,comfortable
0,no convictions,wanted,adequate
0,no convictions,wanted,adequate
0,no convictions,wanted,adequate
4,convicted,welcome,inadequate
1,convicted,welcome,inadequate
0,no convictions,welcome,inadequate
0,no convictions,unwelcome,inadequate
0,no convictions,unwelcome,inadequate
0,no convictions,wanted,comfortable
3,convicted,welcome,adequate
2,convicted,wanted,comfortable
0,no convictions,NA,adequate
2,convicted,unwelcome,inadequate
2,convicted,unwelcome,inadequate
2,convicted,welcome,inadequate
NA,NA,unwelcome,comfortable
0,no convictions,wanted,adequate
0,no convictions,welcome,adequate
1,convicted,wanted,inadequate
0,no convictions,wanted,adequate
0,no convictions,welcome,adequate
6,convicted,welcome,inadequate
0,no convictions,unwelcome,comfortable
0,no convictions,wanted,adequate
0,no convictions,NA,adequate
5,convicted,wanted,adequate
0,no convictions,welcome,comfortable
0,no convictions,wanted,adequate
0,no convictions,NA,adequate
0,no convictions,welcome,comfortable
1,convicted,welcome,adequate
NA,NA,welcome,adequate
0,no convictions,welcome,adequate
11,convicted,NA,inadequate
0,no convictions,welcome,adequate
0,no convictions,welcome,inadequate
0,no convictions,welcome,comfortable
0,no convictions,wanted,inadequate
1,convicted,NA,adequate
0,no convictions,unwelcome,inadequate
0,no convictions,welcome,adequate
0,no convictions,wanted,comfortable
0,no convictions,welcome,adequate
0,no convictions,NA,adequate
0,no convictions,NA,comfortable
1,convicted,welcome,adequate
1,convicted,welcome,adequate
0,no convictions,wanted,adequate
3,convicted,wanted,comfortable
0,no convictions,wanted,inadequate
0,no convictions,NA,inadequate
0,no convictions,welcome,adequate
0,no convictions,wanted,adequate
0,no convictions,welcome,adequate
1,convicted,welcome,comfortable
0,no convictions,welcome,comfortable
0,no convictions,welcome,inadequate
3,convicted,NA,comfortable
0,no convictions,welcome,inadequate
1,convicted,welcome,inadequate
8,convicted,wanted,adequate
0,no convictions,welcome,adequate
5,convicted,wanted,adequate
4,convicted,welcome,comfortable
5,convicted,NA,adequate
