"id","convictions","record","conceptionWanted","familyIncome"
1,0,"no convictions","unwelcome","comfortable"
2,0,"no convictions","unwelcome","adequate"
3,1,"convicted","welcome","adequate"
4,2,"convicted","unwelcome","inadequate"
5,3,"convicted",NA,"adequate"
6,0,"no convictions","welcome","inadequate"
7,0,"no convictions",NA,"adequate"
8,0,"no convictions","welcome","comfortable"
9,2,"convicted","welcome","adequate"
10,4,"convicted","unwelcome","adequate"
11,0,"no convictions","welcome","adequate"
12,1,"convicted",NA,"inadequate"
13,12,"convicted","welcome","inadequate"
14,0,"no convictions","wanted","adequate"
15,0,"no convictions","welcome","inadequate"
16,0,"no convictions","wanted","comfortable"
17,2,"convicted","wanted","adequate"
18,0,"no convictions","wanted","comfortable"
19,0,"no convictions","welcome","adequate"
20,4,"convicted","welcome","inadequate"
21,0,"no convictions","welcome","adequate"
22,1,"convicted","wanted","adequate"
23,3,"convicted","welcome","adequate"
24,0,"no convictions","wanted","comfortable"
25,0,"no convictions","wanted","comfortable"
26,0,"no convictions","welcome","comfortable"
27,0,"no convictions","unwelcome","comfortable"
28,1,"convicted","wanted","inadequate"
29,0,"no convictions","welcome","adequate"
30,4,"convicted","unwelcome","inadequate"
31,0,"no convictions","welcome","comfortable"
32,0,"no convictions","wanted","adequate"
33,0,"no convictions","wanted","adequate"
34,0,"no convictions","wanted","adequate"
35,4,"convicted","welcome","inadequate"
36,1,"convicted","welcome","inadequate"
37,0,"no convictions","welcome","inadequate"
38,0,"no convictions","unwelcome","inadequate"
39,0,"no convictions","unwelcome","inadequate"
40,0,"no convictions","wanted","comfortable"
41,3,"convicted","welcome","adequate"
42,2,"convicted","wanted","comfortable"
43,0,"no convictions",NA,"adequate"
44,2,"convicted","unwelcome","inadequate"
45,2,"convicted","unwelcome","inadequate"
46,2,"convicted","welcome","inadequate"
47,NA,NA,"unwelcome","comfortable"
48,0,"no convictions","wanted","adequate"
49,0,"no convictions","welcome","adequate"
50,1,"convicted","wanted","inadequate"
51,0,"no convictions","wanted","adequate"
52,0,"no convictions","welcome","adequate"
53,6,"convicted","welcome","inadequate"
54,0,"no convictions","unwelcome","comfortable"
55,0,"no convictions","wanted","adequate"
56,0,"no convictions",NA,"adequate"
57,5,"convicted","wanted","adequate"
