"location","lightConditions","sex","nAttracted","nNotAttracted","fractionAttracted"
"Allschwil","light-polluted","m",21,51,0.291666666666667
"Basel Kannenfeld","light-polluted","m",36,47,0.433734939759036
"Basel Spalentor","light-polluted","m",21,77,0.214285714285714
"Blochmont","dark-sky","m",17,12,0.586206896551724
"Doucier","dark-sky","m",9,15,0.375
"Hegenheim","light-polluted","m",8,36,0.181818181818182
"Kiffis","dark-sky","m",21,22,0.488372093023256
"Kleinltzel","dark-sky","m",22,20,0.523809523809524
"Lutterbach","dark-sky","m",1,7,0.125
"Reinach","light-polluted","m",34,61,0.357894736842105
