sex,foodTreatment,lifespan
female,reduced,16.5
female,reduced,18.9
female,reduced,22.6
female,reduced,27.8
female,reduced,30.2
female,reduced,30.7
female,reduced,35.9
female,control,23.7
female,control,24.5
female,control,24.7
female,control,26.1
female,control,28.1
female,control,33.4
female,control,33.7
female,control,35.2
male,reduced,23.7
male,reduced,28.1
male,reduced,29.8
male,reduced,31.1
male,reduced,36.3
male,reduced,37.7
male,reduced,39.9
male,reduced,39.9
male,reduced,40.2
male,reduced,40.2
male,control,24.9
male,control,25.2
male,control,29.6
male,control,33.2
male,control,34.1
male,control,35.4
male,control,38.1
male,control,38.8
male,control,40.7
