year,hurricaneName,category,
2001,Erin,3,
2001,Feliz,3,
2001,Gabrielle,1,
2001,Humberto,2,
2001,Iris,4,
2001,Karen,1,
2001,Michelle,4,
2001,Noel,1,
2001,Olga,1,
2002,Gustav,2,
2002,Isidore,3,
2002,Kyle,1,
2002,Lili,4,
2003,Claudette,1,
2003,Danny,1,
2003,Erika,1,
2003,Fabian,4,
2003,Isabel,5,
2003,Juan,2,
2003,Kate,3,
2004,Alex,3,
2004,Charley,4,
2004,Danielle,2,
2004,Frances,4,
2004,Gaston,1,
2004,Ivan,5,
2004,Jeanne,3,
2004,Karl,4,
2004,Lisa,1,
2005,Cindy,1,
2005,Dennis,4,
2005,Emily,5,
2005,Irene,2,
2005,Katrina,5,
2005,Maria,3,
2005,Nate,1,
2005,Ophelia,1,
2005,Philippe,1,
2005,Rita,5,
2005,Stan,1,
2005,Vince,1,
2005,Wilma,5,
2005,Beta,3,
2005,Epsilon,1,
2006,Ernesto,1,
2006,Florence,1,
2006,Gordon,3,
2006,Helene,3,
2006,Isaac,1,
2007,Dean,5,
2007,Felix,5,
2007,Humberto,1,
2007,Karen,1,
2007,Lorenzo,1,
2007,Noel,1,
2008,Bertha,3,
2008,Dolly,2,
2008,Gustav,4,
2008,Hanna,1,
2008,Ike,4,
2008,Kyle,1,
2008,Omar,4,
2008,Paloma,4,
2009,Bill,4,
2009,Fred,3,
2009,Ida,2,
2010,Alex,2,
2010,Danielle,4,
2010,Earl,4,
2010,Igor,4,
2010,Julia,4,
2010,Karl,3,
2010,Lisa,1,
2010,Otto,1,
2010,Paula,2,
2010,Richard,2,
2010,Shary,1,
2010,Toas,2,
,,,
