"name","chr","description"
"TSPAN6","X","tetraspanin"
"TNMD","X","tenomodulin"
"DPM1","20","dolichyl-phosphate"
"SCYL3","1","SCY1"
"C1orf112","1","chromosome"
"FGR","1","FGR"
"CFH","1","complement"
"FUCA2","6","alpha-L-fucosidase"
"GCLC","6","glutamate-cysteine"
"NFYA","6","nuclear"
"STPG1","1","sperm"
"NIPAL3","1","NIPA"
"LAS1L","X","LAS1"
"ENPP4","6","ectonucleotide"
"SEMA3F","3","semaphorin"
"CFTR","7","cystic"
"ANKIB1","7","ankyrin"
"CYP51A1","7","cytochrome"
"KRIT1","7","KRIT1,"
"RAD52","12","RAD52"
"BAD","11","BCL2"
"LAP3","4","leucine"
"CD99","X","CD99"
"HS3ST1","4","heparan"
"AOC1","7","amine"
"WNT16","7","Wnt"
"HECW1","7","HECT,"
"MAD1L1","7","mitotic"
"LASP1","17","LIM"
"SNX11","17","sorting"
"TMEM176A","7","transmembrane"
"M6PR","12","mannose-6-phosphate"
"KLHL13","X","kelch"
"CYP26B1","2","cytochrome"
"ICA1","7","islet"
"DBNDD1","16","dysbindin"
"ALS2","2","ALS2,"
"CASP10","2","caspase"
"CFLAR","2","CASP8"
"TFPI","2","tissue"
"NDUFAF7","2","NADH:ubiquinone"
"RBM5","3","RNA"
"MTMR7","8","myotubularin"
"SLC7A2","8","solute"
"ARF5","7","ADP"
"SARM1","17","sterile"
"POLDIP2","17","DNA"
"PLXND1","3","plexin"
"AK2","1","adenylate"
"CD38","4","CD38"
"FKBP4","12","FK506"
"KDM1A","1","lysine"
"RBM6","3","RNA"
"CAMKK1","17","calcium/calmodulin"
"RECQL","12","RecQ"
"VPS50","7","VPS50,"
"HSPB6","19","heat"
"ARHGAP33","19","Rho"
"NDUFAB1","16","NADH:ubiquinone"
"PDK4","7","pyruvate"
"SLC22A16","6","solute"
"ZMYND10","3","zinc"
"ABCB5","7","ATP"
"ARX","X","aristaless"
"SLC25A13","7","solute"
"ST7","7","suppression"
"CDC27","17","cell"
"SLC4A1","17","solute"
"CALCR","7","calcitonin"
"HCCS","X","holocytochrome"
"DVL2","17","dishevelled"
"PRSS22","16","serine"
"UPF1","19","UPF1,"
"SKAP2","7","src"
"SLC25A5","X","solute"
"MCUB","4","mitochondrial"
"HOXA11","7","homeobox"
"POLR2J","7","RNA"
"DHX33","17","DEAH-box"
"MEOX1","17","mesenchyme"
"THSD7A","7","thrombospondin"
"LIG3","17","DNA"
"RPAP3","12","RNA"
"ACSM3","16","acyl-CoA"
"REXO5","16","RNA"
"CIAPIN1","16","cytokine"
"SPPL2B","19","signal"
"FAM214B","9","family"
"COPZ2","17","coatomer"
"PRKAR2B","7","protein"
"MSL3","X","MSL"
"CREBBP","16","CREB"
"TSPOAP1","17","TSPO"
"MPO","17","myeloperoxidase"
"PON1","7","paraoxonase"
"GCFC2","2","GC-rich"
"WDR54","2","WD"
"CROT","7","carnitine"
"ABCB4","7","ATP"
"KMT2E","7","lysine"
"RHBDD2","7","rhomboid"
"SOX8","16","SRY-box"
"IBTK","6","inhibitor"
"ZNF195","11","zinc"
"MYCBP2","13","MYC"
"FBXL3","13","F-box"
"ITGAL","16","integrin"
"PDK2","17","pyruvate"
"ITGA3","17","integrin"
"ZFX","X","zinc"
"LAMP2","X","lysosomal"
"ITGA2B","17","integrin"
"ASB4","7","ankyrin"
"GDE1","16","glycerophosphodiester"
