"night","numberPigGroups"
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,1
11,1
12,2
13,0
14,0
15,1
16,2
17,0
18,1
19,2
20,0
21,0
22,0
23,0
24,0
25,0
26,1
27,0
28,1
29,0
30,0
31,3
32,0
33,1
34,5
35,0
36,0
37,0
38,0
39,1
40,0
41,2
42,0
43,2
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,2
52,1
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,2
68,1
69,0
70,0
71,0
72,1
73,0
74,0
75,0
76,2
77,0
78,1
79,0
80,0
81,0
82,0
83,0
84,1
85,0
86,1
87,0
88,0
89,0
90,2
91,0
92,0
93,0
94,1
95,1
96,5
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,1
107,0
108,1
109,1
110,0
111,0
112,1
113,0
114,0
115,1
116,1
117,0
118,0
119,1
120,6
121,0
122,1
123,3
124,1
125,0
126,1
127,1
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,1
143,0
144,3
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,2
154,0
155,1
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,1
181,0
182,0
183,0
184,1
185,0
186,0
187,0
188,0
189,0
190,0
191,2
192,0
193,0
194,1
195,1
196,0
197,0
198,1
199,3
200,1
201,1
202,0
203,0
204,0
205,2
206,0
207,0
208,0
209,0
210,0
211,0
212,2
213,0
214,0
215,2
216,0
217,3
218,0
219,5
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,1
228,0
229,2
230,0
231,0
232,0
233,0
234,1
235,0
236,0
237,0
238,0
239,1
240,1
241,0
242,0
243,0
244,0
245,3
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,1
254,0
255,0
256,0
257,0
258,1
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,1
269,1
270,1
271,0
272,0
273,0
274,3
275,1
276,2
277,1
278,0
