rumpColor,survivalWithFalcon
blue,survived
blue,survived
blue,survived
blue,survived
blue,survived
blue,survived
blue,survived
blue,survived
blue,survived
blue,survived
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
blue,killed
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,survived
white,killed
white,killed
white,killed
white,killed
white,killed
white,killed
white,killed
white,killed
white,killed
