secondMaleAcceptance,eatenOrEscape
accepted,eaten
accepted,eaten
accepted,eaten
accepted,escape
accepted,escape
accepted,escape
accepted,escape
accepted,escape
accepted,escape
accepted,escape
accepted,escape
accepted,escape
accepted,escape
accepted,escape
accepted,escape
accepted,escape
accepted,escape
accepted,escape
accepted,escape
accepted,escape
accepted,escape
accepted,escape
accepted,escape
accepted,escape
accepted,escape
rejected,eaten
rejected,eaten
rejected,eaten
rejected,eaten
rejected,eaten
rejected,eaten
rejected,escape
