tvViewingHours,aggresssive
less than one hour,yes
less than one hour,yes
less than one hour,yes
less than one hour,yes
less than one hour,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
one to three hours,yes
more than three hours,yes
more than three hours,yes
more than three hours,yes
more than three hours,yes
more than three hours,yes
more than three hours,yes
more than three hours,yes
more than three hours,yes
more than three hours,yes
more than three hours,yes
more than three hours,yes
more than three hours,yes
more than three hours,yes
more than three hours,yes
more than three hours,yes
more than three hours,yes
more than three hours,yes
more than three hours,yes
more than three hours,yes
more than three hours,yes
more than three hours,yes
more than three hours,yes
more than three hours,yes
more than three hours,yes
more than three hours,yes
more than three hours,yes
more than three hours,yes
more than three hours,yes
more than three hours,yes
more than three hours,yes
more than three hours,yes
more than three hours,yes
more than three hours,yes
more than three hours,yes
more than three hours,yes
more than three hours,yes
more than three hours,yes
more than three hours,yes
more than three hours,yes
more than three hours,yes
more than three hours,yes
more than three hours,yes
more than three hours,yes
more than three hours,yes
more than three hours,yes
more than three hours,yes
more than three hours,yes
more than three hours,yes
more than three hours,yes
more than three hours,yes
more than three hours,yes
more than three hours,yes
more than three hours,yes
more than three hours,yes
more than three hours,yes
more than three hours,yes
more than three hours,yes
more than three hours,yes
more than three hours,yes
more than three hours,yes
more than three hours,yes
more than three hours,yes
more than three hours,yes
more than three hours,yes
more than three hours,yes
more than three hours,yes
more than three hours,yes
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
less than one hour,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
one to three hours,no
