dietMedComponent,smoking
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
low,never
