matingFrequency,gaveBirth
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
1,yes
2,no
2,no
2,no
2,no
2,no
2,no
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
3,yes
4,no
4,no
4,no
4,no
4,no
4,no
4,no
4,no
5,yes
5,yes
5,yes
5,yes
5,yes
5,yes
5,yes
5,yes
5,yes
5,yes
5,yes
5,yes
5,yes
5,yes
5,yes
5,yes
5,yes
5,yes
5,yes
5,yes
5,yes
5,yes
5,yes
5,yes
5,yes
5,yes
5,yes
5,yes
5,yes
5,yes
5,yes
5,yes
5,yes
5,yes
5,yes
5,yes
5,yes
5,yes
5,yes
5,yes
5,yes
5,yes
5,yes
5,yes
5,yes
5,yes
5,yes
5,yes
5,yes
5,yes
5,yes
5,yes
5,yes
5,yes
5,yes
5,yes
5,yes
5,yes
5,yes
5,yes
5,yes
2,yes
2,yes
2,yes
2,yes
2,yes
2,yes
2,yes
2,yes
2,yes
2,yes
2,yes
2,yes
2,yes
2,yes
2,yes
2,yes
2,yes
4,yes
4,yes
4,yes
4,yes
4,yes
