claimIntuition,identifyLiar
yes,yes
yes,yes
yes,yes
yes,yes
yes,yes
yes,yes
yes,yes
yes,yes
yes,yes
yes,yes
yes,yes
yes,yes
yes,yes
yes,yes
yes,yes
yes,yes
yes,yes
yes,yes
yes,yes
yes,yes
yes,yes
yes,yes
yes,yes
yes,yes
yes,yes
yes,yes
yes,yes
yes,yes
yes,yes
yes,yes
yes,yes
yes,yes
yes,yes
yes,yes
yes,yes
yes,yes
yes,yes
yes,yes
yes,yes
yes,yes
yes,yes
yes,yes
yes,yes
yes,yes
yes,yes
yes,yes
yes,yes
yes,yes
yes,yes
yes,yes
yes,yes
yes,yes
yes,yes
yes,yes
yes,yes
yes,yes
yes,yes
yes,yes
yes,yes
yes,no
yes,no
yes,no
yes,no
yes,no
yes,no
yes,no
yes,no
yes,no
yes,no
yes,no
yes,no
yes,no
yes,no
yes,no
yes,no
yes,no
yes,no
yes,no
yes,no
yes,no
yes,no
yes,no
yes,no
yes,no
yes,no
yes,no
yes,no
yes,no
yes,no
yes,no
yes,no
yes,no
yes,no
yes,no
yes,no
yes,no
yes,no
yes,no
yes,no
yes,no
no,yes
no,yes
no,yes
no,yes
no,yes
no,yes
no,yes
no,yes
no,yes
no,yes
no,yes
no,yes
no,yes
no,yes
no,yes
no,yes
no,yes
no,yes
no,yes
no,yes
no,yes
no,yes
no,yes
no,yes
no,yes
no,yes
no,yes
no,yes
no,yes
no,yes
no,yes
no,yes
no,yes
no,yes
no,yes
no,yes
no,yes
no,yes
no,yes
no,yes
no,yes
no,yes
no,yes
no,yes
no,yes
no,yes
no,yes
no,yes
no,yes
no,yes
no,yes
no,yes
no,yes
no,yes
no,yes
no,yes
no,yes
no,yes
no,yes
no,yes
no,yes
no,yes
no,yes
no,yes
no,yes
no,yes
no,yes
no,yes
no,yes
nio,no
nio,no
nio,no
nio,no
nio,no
nio,no
nio,no
nio,no
nio,no
nio,no
nio,no
nio,no
nio,no
nio,no
nio,no
nio,no
nio,no
nio,no
nio,no
nio,no
nio,no
nio,no
nio,no
nio,no
nio,no
nio,no
nio,no
nio,no
nio,no
nio,no
nio,no
