faceShown,yawn
eyes covered,yes
eyes covered,yes
eyes covered,yes
eyes covered,yes
eyes covered,yes
eyes covered,yes
eyes covered,yes
eyes covered,yes
eyes covered,yes
eyes covered,yes
eyes covered,yes
eyes covered,no
eyes covered,no
eyes covered,no
eyes covered,no
eyes covered,no
eyes covered,no
eyes covered,no
eyes covered,no
eyes covered,no
eyes covered,no
eyes covered,no
eyes covered,no
eyes covered,no
eyes covered,no
eyes covered,no
eyes covered,no
eyes covered,no
eyes covered,no
eyes covered,no
eyes uncovered,yes
eyes uncovered,yes
eyes uncovered,yes
eyes uncovered,yes
eyes uncovered,yes
eyes uncovered,yes
eyes uncovered,yes
eyes uncovered,yes
eyes uncovered,yes
eyes uncovered,yes
eyes uncovered,yes
eyes uncovered,yes
eyes uncovered,yes
eyes uncovered,yes
eyes uncovered,yes
eyes uncovered,yes
eyes uncovered,yes
eyes uncovered,no
eyes uncovered,no
eyes uncovered,no
eyes uncovered,no
eyes uncovered,no
eyes uncovered,no
eyes uncovered,no
eyes uncovered,no
eyes uncovered,no
eyes uncovered,no
eyes uncovered,no
eyes uncovered,no
eyes uncovered,no
