glandColor,immobilization
blue,unharmed
blue,unharmed
blue,unharmed
blue,immobilized
blue,immobilized
blue,immobilized
blue,immobilized
blue,immobilized
blue,immobilized
blue,immobilized
blue,immobilized
blue,immobilized
blue,immobilized
blue,immobilized
blue,immobilized
blue,immobilized
blue,immobilized
blue,immobilized
blue,immobilized
blue,immobilized
blue,immobilized
blue,immobilized
blue,immobilized
blue,immobilized
blue,immobilized
blue,immobilized
blue,immobilized
blue,immobilized
blue,immobilized
blue,immobilized
blue,immobilized
blue,immobilized
blue,immobilized
blue,immobilized
blue,immobilized
blue,immobilized
blue,immobilized
blue,immobilized
blue,immobilized
blue,immobilized
white,unharmed
white,unharmed
white,unharmed
white,unharmed
white,unharmed
white,unharmed
white,unharmed
white,unharmed
white,unharmed
white,unharmed
white,unharmed
white,unharmed
white,unharmed
white,unharmed
white,unharmed
white,unharmed
white,unharmed
white,unharmed
white,unharmed
white,unharmed
white,unharmed
white,unharmed
white,unharmed
white,unharmed
white,unharmed
white,unharmed
white,unharmed
white,unharmed
white,unharmed
white,unharmed
white,unharmed
white,immobilized
white,immobilized
white,immobilized
white,immobilized
white,immobilized
white,immobilized
white,immobilized
white,immobilized
white,immobilized
