questionType,response
bad reason,allowed
bad reason,allowed
bad reason,allowed
bad reason,allowed
bad reason,allowed
bad reason,allowed
bad reason,allowed
bad reason,allowed
bad reason,allowed
bad reason,allowed
bad reason,allowed
bad reason,allowed
bad reason,allowed
bad reason,allowed
bad reason,allowed
bad reason,allowed
bad reason,allowed
bad reason,allowed
bad reason,allowed
bad reason,allowed
bad reason,allowed
bad reason,allowed
bad reason,allowed
bad reason,allowed
bad reason,allowed
bad reason,allowed
bad reason,allowed
bad reason,allowed
bad reason,did not allow
bad reason,did not allow
request only,allowed
request only,allowed
request only,allowed
request only,allowed
request only,allowed
request only,allowed
request only,allowed
request only,allowed
request only,allowed
request only,allowed
request only,allowed
request only,allowed
request only,allowed
request only,allowed
request only,allowed
request only,allowed
request only,allowed
request only,allowed
request only,did not allow
request only,did not allow
request only,did not allow
request only,did not allow
request only,did not allow
request only,did not allow
request only,did not allow
request only,did not allow
request only,did not allow
request only,did not allow
request only,did not allow
request only,did not allow
