Country,HealthExpenditurePerCapitaInUSD
Eritrea,12
Ethiopia,16
"Congo, Dem. Rep.",16
Madagascar,16
Myanmar,17
Central African Republic,18
Niger,18
Burundi,21
Mozambique,21
Pakistan,22
Guinea,23
Bangladesh,23
Malawi,26
"Gambia, The",26
Liberia,29
Nepal,30
Chad,31
Tanzania,31
Benin,31
Mali,32
Comoros,33
Kenya,37
Afghanistan,38
Burkina Faso,40
Togo,41
Sierra Leone,43
Mauritania,43
Cambodia,45
Lao PDR,46
Haiti,46
Uganda,47
Guinea-Bissau,47
Tajikistan,49
Papua New Guinea,49
Kyrgyz Republic,53
India,54
Rwanda,56
Timor-Leste,57
Senegal,59
Cote d'Ivoire,60
Cameroon,61
Nigeria,63
"Yemen, Rep.",63
Ghana,67
Sri Lanka,70
"Congo, Rep.",72
Zambia,73
Indonesia,77
Philippines,77
Uzbekistan,82
Vietnam,83
Sudan,84
Sao Tome and Principe,90
Djibouti,92
Bolivia,97
Syrian Arab Republic,97
Nicaragua,103
Turkmenistan,106
Solomon Islands,107
Bhutan,108
Lesotho,109
Mongolia,120
"Egypt, Arab Rep.",123
Angola,123
Armenia,133
Honduras,137
Morocco,148
Fiji,154
Cape Verde,155
Vanuatu,157
Kiribati,160
Paraguay,163
Tonga,172
Algeria,178
Thailand,179
Guyana,180
Moldova,190
Guatemala,196
Swaziland,203
Samoa,204
China,221
Ukraine,234
El Salvador,237
Tunisia,238
Belize,239
Albania,241
Iraq,247
Jamaica,247
Peru,269
Georgia,272
St. Vincent and the Grenadines,278
Gabon,302
"Macedonia, FYR",317
"Iran, Islamic Rep.",317
Belarus,320
Dominican Republic,323
Ecuador,328
Azerbaijan,332
Jordan,357
Namibia,361
"Micronesia, Fed. Sts.",366
Malaysia,368
Seychelles,368
Maldives,382
Kazakhstan,393
Dominica,419
Romania,428
Bulgaria,435
Grenada,439
Mauritius,449
St. Lucia,465
Colombia,472
Libya,484
Suriname,492
Bosnia and Herzegovina,499
Marshall Islands,520
Russian Federation,525
Tuvalu,534
Serbia,546
Oman,574
Montenegro,578
Mexico,604
Cuba,607
Botswana,615
Panama,616
South Africa,649
Lebanon,651
"Venezuela, RB",663
St. Kitts and Nevis,669
Turkey,678
Saudi Arabia,680
Antigua and Barbuda,690
Latvia,718
Argentina,742
Lithuania,781
Costa Rica,811
Palau,850
Estonia,853
Trinidad and Tobago,861
Bahrain,864
Brunei Darussalam,882
Equatorial Guinea,896
Poland,917
Hungary,942
Chile,947
Brazil,990
Uruguay,998
Barbados,1003
Croatia,1067
Kuwait,1223
Slovak Republic,1413
"Korea, Rep.",1439
United Arab Emirates,1450
Czech Republic,1480
Qatar,1489
Malta,1697
Cyprus,1705
Singapore,1733
"Bahamas, The",1735
Slovenia,2154
Israel,2183
Portugal,2367
Greece,2729
Spain,2883
Andorra,3099
Italy,3248
New Zealand,3279
United Kingdom,3503
San Marino,3655
Iceland,3722
Finland,3984
Japan,4065
Ireland,4242
Belgium,4618
Germany,4668
France,4691
Sweden,4710
Australia,4775
Austria,4958
Canada,5222
Netherlands,5593
Monaco,6326
Denmark,6422
Switzerland,7812
Norway,8091
Luxembourg,8181
United States,8362
