"ID","Location_category","Days_post_infection","Worm_burden","log_average_worm_length","log_worm_biomass"
4,"Rewild",21,65,0.867467488,3.5
6,"Rewild",20,13,0.803457116,2.64
18,"Rewild",21,76,0.534026106,2.86
26,"Rewild",20,84,0.562292864,3
73,"Lab",21,5,0.290034611,1.2
83,"Lab",20,17,0.354108439,1.92
84,"Lab",20,1,0.260071388,0.9
85,"Lab",21,1,0.1430148,0.3
97,"Rewild",20,93,0.469822016,2.85
101,"Rewild",22,103,0.707570176,3.29
112,"Lab",21,3,0.152288344,0.78
122,"Lab",22,1,0.220108088,0
125,"Rewild",20,59,0.515873844,2.87
421,"Rewild",20,100,0.651278014,3.18
423,"Rewild",21,40,0.527629901,2.64
424,"Rewild",22,49,0.992553518,3.6
