sex,spermSize
hermaphrodite,10
hermaphrodite,10
hermaphrodite,10
hermaphrodite,10
hermaphrodite,10
hermaphrodite,10
hermaphrodite,10
hermaphrodite,10
hermaphrodite,10
hermaphrodite,10
hermaphrodite,10
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,14
hermaphrodite,16
hermaphrodite,16
hermaphrodite,16
hermaphrodite,16
hermaphrodite,16
hermaphrodite,16
hermaphrodite,16
hermaphrodite,16
hermaphrodite,16
hermaphrodite,16
hermaphrodite,16
hermaphrodite,16
hermaphrodite,16
hermaphrodite,16
hermaphrodite,16
hermaphrodite,16
hermaphrodite,16
hermaphrodite,16
hermaphrodite,16
hermaphrodite,16
hermaphrodite,16
hermaphrodite,16
hermaphrodite,16
hermaphrodite,16
hermaphrodite,16
hermaphrodite,16
hermaphrodite,16
hermaphrodite,16
hermaphrodite,16
hermaphrodite,16
hermaphrodite,16
hermaphrodite,16
hermaphrodite,16
hermaphrodite,16
hermaphrodite,16
hermaphrodite,16
hermaphrodite,16
hermaphrodite,16
hermaphrodite,16
hermaphrodite,16
hermaphrodite,16
hermaphrodite,16
hermaphrodite,16
hermaphrodite,16
hermaphrodite,16
hermaphrodite,16
hermaphrodite,16
hermaphrodite,16
hermaphrodite,16
hermaphrodite,18
hermaphrodite,18
hermaphrodite,18
hermaphrodite,18
hermaphrodite,18
hermaphrodite,18
hermaphrodite,18
hermaphrodite,18
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
hermaphrodite,12
male,14
male,14
male,14
male,14
male,14
male,14
male,14
male,14
male,14
male,14
male,14
male,14
male,14
male,14
male,14
male,14
male,14
male,14
male,14
male,14
male,14
male,14
male,14
male,14
male,14
male,14
male,14
male,14
male,14
male,14
male,14
male,14
male,14
male,14
male,14
male,14
male,14
male,14
male,14
male,14
male,14
male,14
male,14
male,14
male,14
male,14
male,14
male,14
male,14
male,14
male,14
male,14
male,14
male,14
male,14
male,14
male,14
male,14
male,14
male,14
male,14
male,14
male,14
male,14
male,14
male,14
male,14
male,14
male,14
male,14
male,14
male,14
male,14
male,14
male,14
male,14
male,14
male,14
male,16
male,16
male,16
male,16
male,16
male,16
male,16
male,16
male,16
male,16
male,16
male,16
male,16
male,16
male,16
male,16
male,16
male,16
male,16
male,16
male,16
male,16
male,16
male,16
male,16
male,16
male,16
male,16
male,16
male,16
male,16
male,16
male,16
male,16
male,16
male,16
male,16
male,16
male,16
male,16
male,16
male,16
male,16
male,16
male,16
male,16
male,16
male,16
male,16
male,16
male,16
male,16
male,16
male,16
male,16
male,16
male,16
male,16
male,16
male,16
male,16
male,16
male,16
male,16
male,16
male,16
male,16
male,16
male,16
male,16
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,18
male,20
male,20
male,20
male,20
male,20
male,20
male,20
male,20
male,20
male,20
male,20
male,20
male,20
male,20
male,20
male,20
male,20
male,20
male,20
male,20
male,20
male,20
male,20
male,20
male,20
male,20
male,20
male,20
male,20
male,20
male,20
male,20
male,20
male,20
male,20
male,20
male,20
male,20
male,20
male,20
male,20
male,20
male,20
male,20
male,20
male,20
male,20
male,20
male,20
male,20
male,20
male,20
male,20
male,20
male,20
male,20
male,20
male,20
male,20
male,20
male,20
male,20
male,20
male,20
male,20
male,20
male,20
male,20
male,20
male,20
male,20
male,20
male,20
male,20
male,20
male,20
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
male,22
