major,numberSexPartners
biology,0
biology,0
biology,0
biology,0
biology,0
biology,0
biology,0
biology,0
biology,0
biology,0
biology,0
biology,0
biology,0
biology,0
biology,0
biology,0
biology,0
biology,0
biology,0
biology,0
biology,0
biology,0
biology,0
biology,0
biology,0
biology,0
biology,0
biology,0
biology,0
biology,0
biology,1
biology,1
biology,1
biology,1
biology,1
biology,1
biology,1
biology,1
biology,1
biology,1
biology,1
biology,1
biology,1
biology,1
biology,1
biology,1
biology,1
biology,1
biology,1
biology,1
biology,1
biology,1
biology,1
biology,1
biology,1
biology,1
biology,1
biology,1
biology,1
biology,1
biology,1
biology,1
biology,1
biology,1
biology,1
biology,1
biology,1
biology,1
biology,1
biology,1
biology,1
biology,1
biology,1
biology,1
biology,1
biology,1
biology,1
biology,1
biology,1
biology,1
biology,2
biology,2
biology,2
biology,2
biology,2
biology,2
biology,2
biology,2
biology,3
biology,3
biology,4
biology,4
biology,4
biology,4
biology,5
biology,5
biology,6
biology,6
biology,7
biology,7
sports,0
sports,0
sports,0
sports,0
sports,0
sports,0
sports,0
sports,0
sports,0
sports,1
sports,1
sports,1
sports,1
sports,1
sports,1
sports,1
sports,1
sports,1
sports,1
sports,1
sports,1
sports,1
sports,1
sports,1
sports,1
sports,1
sports,1
sports,1
sports,1
sports,1
sports,1
sports,1
sports,1
sports,1
sports,1
sports,1
sports,1
sports,1
sports,1
sports,1
sports,1
sports,1
sports,1
sports,1
sports,1
sports,1
sports,1
sports,1
sports,1
sports,1
sports,1
sports,1
sports,2
sports,2
sports,2
sports,2
sports,2
sports,2
sports,2
sports,2
sports,2
sports,2
sports,2
sports,2
sports,2
sports,2
sports,2
sports,2
sports,2
sports,2
sports,3
sports,3
sports,3
sports,3
sports,3
sports,3
sports,3
sports,3
sports,3
sports,3
sports,3
sports,3
sports,3
sports,3
sports,4
sports,4
sports,4
sports,4
sports,4
sports,4
sports,4
sports,5
sports,5
sports,5
sports,6
sports,6
sports,7
sports,8
sports,10
sports,12
sports,12
sports,14
sports,15
