age,areaClassification,degree,experience,gender,qualityRatingFirstAbstract,qualityRatingSecondAbstract,condition,ratingAdvantageOfManipulatedAbstractOverTheOther,notOutlier
,M,Master's,2,F,50,70,1,-20,1
16,M,Doctor's,1,M,0,1,2,1,1
19,HS,Master's,0,M,2,2,2,0,1
19,M,Doctor's,1,F,6,1,1,5,1
20,HS,Master's,0,M,45,12,1,33,1
21,MST,Master's,1,M,70,70,1,0,1
22,M,Master's,1,F,85,90,1,-5,1
22,MST,Master's,1,M,43,29,2,-14,1
22,HS,Master's,1,F,80,90,2,10,1
22,MST,Master's,0,M,5,4,2,-1,1
22,MST,Master's,2,F,80,85,1,-5,1
23,HS,Master's,1,F,50,75,2,25,1
23,HS,Master's,1,F,70,80,2,10,1
23,M,Master's,1,F,40,70,2,30,1
23,M,Master's,2,F,65,90,1,-25,1
23,MST,Master's,2,M,85,70,2,-15,1
23,HS,Master's,2,M,70,85,2,15,1
23,HS,Master's,2,M,80,79,2,-1,1
23,HS,Master's,2,F,90,95,2,5,1
23,HS,Doctor's,2,M,54,54,1,0,1
24,HS,Master's,1,F,80,85,2,5,1
24,HS,Master's,1,F,80,84,1,-4,1
24,HS,Master's,1,M,60,80,1,-20,1
24,HS,Master's,1,F,85,50,1,35,1
24,HS,Master's,1,M,19,32,1,-13,1
24,MST,Master's,1,F,70,65,2,-5,1
24,M,Doctor's,1,M,70,70,2,0,1
24,MST,Master's,1,M,79,80,1,-1,1
24,MST,Master's,0,M,35,70,1,-35,1
24,O,Master's,1,M,85,90,2,5,1
24,O,Master's,1,F,60,85,2,25,1
24,HS,Master's,1,F,70,60,1,10,1
24,HS,Master's,1,M,90,90,1,0,1
24,MST,Master's,1,M,12,12,2,0,1
24,MST,Master's,1,F,26,26,1,0,1
25,HS,Master's,1,M,80,85,2,5,1
25,HS,Master's,0,M,42,45,2,3,1
25,HS,Master's,1,F,90,98,2,8,1
25,HS,Master's,2,F,90,90,1,0,1
25,HS,Master's,2,F,85,90,1,-5,1
25,MST,Master's,0,F,68,67,2,-1,1
25,M,Doctor's,1,M,60,85,2,25,1
