Individual,songType,NsongsPre,NsongsPost,TimeNearSpeaker
5,S.teguina ,2,3,0.95
23,S.teguina ,1,3,0.9
27,S.teguina ,1,2,0.85
41,S.teguina ,2,4,0.71
49,S.teguina ,3,4,0.61
58,S.teguina ,1,2,0.45
72,S.teguina ,2,3,0.68
88,S.teguina ,1,3,0.72
70,S.xerampelius ,3,2,0.24
92,S.xerampelius ,2,0,0
93,S.xerampelius ,2,1,0
95,S.xerampelius ,4,3,0
128,S.xerampelius ,1,0,0.07
132,S.xerampelius ,2,1,0.48
137,S.xerampelius ,2,1,0.15
158,S.xerampelius ,1,0,0
7,Control,4,5,0.8
12,Control,2,2,0.09
13,Control,0,0,0.79
40,Control,2,2,0.21
108,Control,1,0,0.18
129,Control,1,1,0.78
176,Control,1,1,0.51
190,Control,1,0,0.13
