"log10Mass","log10Density"
-3.22,4.22
-2.7,4.25
-2.7,4.13
-2.6,3.99
-2.03,5.34
-2.12,4.09
-1.7,4.41
-1.32,4.4
-1.07,4.71
-1.82,4.06
-1.48,3.99
-1.93,3.66
-1.66,3.83
-1.57,3.75
-0.82,4.08
-0.88,3.93
-0.69,3.99
-0.55,3.97
-0.78,3.73
-0.98,3.73
-1.76,3.26
-1.82,2.89
-1.66,3.01
-1.49,3.18
-1.4,3.1
-0.99,3.18
-0.66,3.41
-0.63,3.48
-1.09,2.89
-1.18,2.62
-1.36,2.42
-0.98,2.6
-0.86,2.94
-0.59,2.98
0.2,3.32
0.77,3.18
0.28,2.96
0.2,3.05
0.14,2.93
-0.46,2.82
-0.47,2.52
-0.74,2.6
-0.66,2.24
-0.78,2
-1.01,1.56
0.85,2.89
0.68,2.85
0.72,2.78
0.58,2.65
0.58,2.46
0.55,2.37
0.9,2.37
1.64,2.47
1.94,2.24
0.14,2.21
0.03,1.91
0.55,1.83
0.68,1.91
1.02,2.21
-0.24,1.25
-0.02,1.2
0.04,0.93
-0.21,0.71
0.14,0.62
0.16,-0.3
0.31,0.46
0.56,0.48
0.56,0.32
0.5,0.98
0.62,0.98
0.56,1.23
0.52,1.52
1.22,1.69
1.4,1.66
1.27,1.39
1.15,1.37
1.04,1.34
1,1.25
0.89,1.2
1.06,1.09
0.9,0.4
0.83,0.33
0.98,0.22
0.77,-0.09
1,-0.28
1.42,-0.15
1.84,-0.46
1.5,0.15
1.98,0.07
2.48,0.07
2.68,-0.1
3.9,-0.78
3.3,0.9
2.43,1.32
1.94,1.12
2.06,0.78
2.75,0.35
0.95,0.13
0.43,0.48
-0.72,3.88
