streamSalmonDensity,salmonberryDensity,sqrtSalmonDensity,arcsinSqrtSalmonberryAbundance
0.13,0,0.793725393,0
0.03,0,0.728010989,0
0.15,0.01,0.806225775,0.100167421
0.13,0.02,0.793725393,0.141897055
0.42,0.02,0.959166305,0.141897055
1.37,0,1.367479433,0
2.69,0.01,1.78605711,0.100167421
3.17,0.01,1.915724406,0.100167421
2.88,0.02,1.838477631,0.141897055
4.68,0.01,2.275961335,0.100167421
5.53,0,2.455605832,0
6.39,0.02,2.62488095,0.141897055
7.33,0,2.798213716,0
17.01,0.04,4.184495191,0.201357921
16.82,0.11,4.161730409,0.338065255
23.93,0.21,4.942671343,0.476033818
34.55,0.25,5.920304046,0.523598776
3.81,0.05,2.076053949,0.225513406
4.67,0.05,2.2737634,0.225513406
5.05,0.06,2.355843798,0.247467063
1.92,0.06,1.555634919,0.247467063
1.54,0.06,1.428285686,0.247467063
0.02,0.07,0.721110255,0.267763327
3.81,0.17,2.076053949,0.424988783
2.2,0.18,1.643167673,0.438149031
2.2,0.15,1.643167673,0.397699415
0.21,0.17,0.842614977,0.424988783
11.49,0.27,3.462657939,0.546400564
1.73,0.21,1.493318452,0.476033818
4.29,0.43,2.188606863,0.715167456
8.84,0.48,3.056141358,0.765392826
11.12,0.52,3.40881211,0.805403501
2.58,0.34,1.754992877,0.62253342
6.37,0.28,2.621068484,0.557598827
7.03,0.27,2.744084547,0.546400564
21.54,0.46,4.694677838,0.745355373
25.52,0.5,5.100980298,0.785398163
35.39,0.53,5.99082632,0.815416193
7.88,0.07,2.894822965,0.267763327
9.59,0.1,3.176476035,0.321750554
8.73,0.13,3.038091506,0.368862984
6.55,0.18,2.655183609,0.438149031
5.6,0.16,2.469817807,0.411516846
0.18,0.01,0.824621125,0.100167421
0.37,0,0.932737905,0
0.08,0.01,0.761577311,0.100167421
0.46,0,0.979795897,0
0.46,0.01,0.979795897,0.100167421
0.11,0,0.781024968,0
0.27,0,0.877496439,0
