atmosphericNDeposition,logANPP
1.111874241,5.00483847
1.122176491,5.433412095
1.987565542,5.433596613
2.421490187,5.484861842
3.072377155,5.561759686
2.995340922,5.357052429
1.984490244,5.305664188
2.34399266,5.260964721
2.268494077,5.120223677
1.906838952,5.075370445
2.264034894,4.93472166
2.983808552,4.877305833
3.345924973,4.941348929
3.348231447,5.037298248
3.779849618,4.992614158
5.223394822,5.044094658
3.569345423,5.235639636
2.829121028,4.442304834
3.408353536,4.538377165
3.728645895,5.862539274
3.873492463,5.888156512
3.804605772,6.022470182
3.73879438,6.284716278
5.176650282,6.099521791
5.243384264,5.875655423
5.238771316,5.683756785
7.406088066,5.844133611
7.258935024,5.722567054
7.180668672,5.466686827
7.103017381,5.236393085
9.711947023,5.767866204
11.23437364,6.100813417
13.97569489,6.139777451
14.40270011,5.903194723
13.2411598,5.583117635
13.00974357,4.956202621
10.32085616,4.09848644
18.14180202,5.44983419
19.01088143,5.603537619
19.4512642,5.923460941
18.73994762,6.332690938
35.39745673,6.285069937
