"MaleID","TestisArea_mm2","NumMaleLittermates","NumFemaleLittermates","LitterSize","Weight_g"
"HF317",32.8,3,0,4,14
"HF316",34,3,0,4,15.8
"HF325",21.46666667,1,0,2,11.6
"HF337",36,0,1,2,16.3
"HF338",36.53333333,1,1,3,18.5
"HF346",27.86666667,2,0,3,12.9
"HF318",35.73333333,3,0,4,12.6
"HF348",31.33333333,2,0,3,14.6
"HF349",30.53333333,0,3,4,13.7
"HF330",36.53333333,0,0,1,18.2
"HF309",29.73333333,0,3,4,16.9
"HF342",31.2,0,3,4,18.6
"HF407",32.13333333,3,0,4,20.5
"HF304",29.2,1,1,3,15.5
"HF324",34.13333333,1,0,2,16.2
"HF376",34,1,2,4,18
"HF385",32.26666667,0,1,2,14.9
"HF406",36.93333333,3,0,4,15.8
"HF375",31.86666667,0,2,3,13.2
"HF411",32,1,0,2,17.8
"HF422",27.86666667,1,2,4,16
"HF418",29.06666667,1,3,5,18.2
"HF423",32,1,2,4,22.2
"HF427",28.53333333,3,1,5,13.4
"HF445",33.2,2,1,4,10.4
"HF439",25.2,2,0,3,14.8
"HF487",34.53333333,2,0,3,18
"HF488",17.86666667,2,0,3,18.1
"HF441",27.33333333,0,3,4,15.1
"HF521",25.2,2,0,3,13
"HF506",37.06666667,3,1,5,14.9
"HF507",27.2,3,1,5,18.4
"HF512",31.06666667,1,1,3,13
"HF514",35.06666667,1,0,2,17.4
"HF545",29.86666667,0,1,2,21.4
"HF548",31.73333333,2,0,3,20
"HF555",45.06666667,4,1,6,12.1
"HF552",35.6,4,1,6,13.4
"HF565",29.2,0,2,3,12.9
"HF562",28.26666667,1,2,4,16.7
"HF571",37.73333333,3,2,6,14.2
"HF580",26.26666667,1,2,4,18.4
"HF598",29.86666667,4,1,6,14.6
"HF601",38.93333333,4,1,6,10.7
"HF615",33.6,1,1,3,13.2
"HF625",33.86666667,0,3,4,12.3
"HF635",24.4,2,3,6,19.1
"HF629",28.4,0,3,4,14.8
"HF639",23.86666667,1,2,4,12.7
"HF633",32.8,2,3,6,11.2
"HF678",36,1,1,3,16.9
"HF680.5",31.33333333,0,1,2,19.2
"HF673",28.4,3,0,4,20.8
"HF680",32.53333333,3,2,6,11
"HF674",27.46666667,3,0,4,12.1
"HF681newgeno_682pheno",41.2,3,2,6,17.5
"HF684",37.86666667,2,0,3,15.7
"HF686",42,2,0,3,17.3
"HF687",35.06666667,2,0,3,13.8
"HF679",36,1,1,3,15.6
"HF681ori",42.66666667,3,2,6,15.6
"HF815",26.26666667,1,0,2,14.7
"HF821",23.73333333,2,3,6,17.5
"HF809",28.53333333,1,2,4,14.1
"HF797",23.46666667,3,0,4,13
"HF849",22.26666667,0,3,4,12.4
"HF854",19.73333333,0,4,5,17.8
"HF866",41.2,2,1,4,16.8
"HF869",27.33333333,2,2,5,16.3
"HF881",24.53333333,2,3,6,18.7
"HF885",22,3,1,5,28.4
"HF894",31.33333333,1,2,4,17.1
"HF896",27.73333333,1,4,6,14.8
"HF899",28.93333333,2,3,6,13.8
"HF911",24.13333333,1,0,2,16.3
"HF909",28.66666667,0,2,3,13.6
"HF915",32.4,4,0,5,18.3
"HF932",33.6,0,2,3,14.3
"HF941",31.33333333,1,3,5,17.9
"HF942",31.86666667,1,1,3,17.9
"HF943",39.33333333,1,1,3,15.4
"HF935",30.66666667,1,2,4,26.3
"HF835",38.66666667,3,1,5,10.6
"HF326",27.33333333,0,2,3,15.8
"HF339",36.8,1,1,3,13.7
"HF347",35.6,2,0,3,20.5
"HF353",31.06666667,0,2,3,19.6
"HF379",28.8,1,2,4,13.9
"HF403",15.86666667,2,0,3,19.6
"HF404",36.53333333,2,0,3,14.8
"HF405",36.53333333,2,0,3,15.5
"HF408",28.93333333,3,0,4,12
"HF409",30.66666667,3,0,4,12.3
"HF410",20.66666667,1,0,2,19.6
"HF419",36.53333333,1,3,5,15.6
"HF425",30.4,3,1,5,16.7
"HF426",42.4,3,1,5,13.3
"HF428",14.66666667,3,1,5,16.6
"HF438",33.33333333,2,0,3,18.9
"HF440",15.33333333,2,0,3,31.4
"HF446",27.86666667,2,1,4,19.4
"HF447",32.8,2,1,4,17.4
"HF456",31.46666667,1,1,3,13.8
"HF457",31.73333333,1,1,3,13.3
"HF461",20.53333333,0,2,3,9.2
"HF477",17.73333333,2,1,4,15.4
"HF478",13.6,2,1,4,16.7
"HF482",26.8,1,2,4,12.6
"HF489",29.46666667,2,0,3,17
"HF504",33.33333333,3,1,5,13.9
"HF505",34.8,3,1,5,11.6
"HF509",25.86666667,0,1,2,17.7
"HF511",36.53333333,1,1,3,19.1
"HF513",25.46666667,0,4,5,13.4
"HF515",21.6,1,0,2,13.4
