Connectivity,ExtinctionProb
140.7345,0
77.98,0
136.5697,0
97.9841,0
96.4478,0
100.8775,0
111.2264,1
209.8563,1
338.7698,1
247.2902,1
346.4562,1
371.1396,0
44.703,0
239.8842,1
230.3354,0
173.8148,0
78.7435,0
72.2966,0
53.1226,1
53.5903,0
58.905,0
87.5681,1
45.9609,0
59.7235,0
59.9558,0
47.9321,0
58.0413,0
57.6314,0
119.2893,0
266.182,0
68.9337,0
123.2933,0
150.1269,0
283.7402,0
125.9119,0
91.1544,0
123.1398,0
104.5461,0
136.9092,0
91.0848,0
100.1106,0
137.7862,0
114.1776,0
115.7027,1
136.577,0
186.7946,1
158.5653,1
117.1883,0
117.993,0
158.928,0
194.832,0
255.8734,1
140.9164,1
211.8269,0
234.4057,0
48.3423,0
187.7229,0
207.4559,0
219.6067,0
274.6449,0
145.7726,0
149.0175,0
92.1335,0
92.357,0
104.5565,0
188.4661,1
179.8904,0
52.8838,0
73.3713,0
118.1945,1
145.7335,0
262.7281,0
252.3241,0
108.0003,0
135.9701,1
138.1392,0
231.5405,0
272.7235,1
249.3968,1
129.1455,0
70.8089,0
73.7611,0
184.3829,0
218.4986,0
245.9276,1
255.3739,1
263.194,0
218.5789,1
228.1146,0
231.9075,0
360.1915,1
250.3398,1
150.3223,0
307.0685,1
252.7432,0
36.1161,0
80.7173,0
139.0614,1
137.093,1
136.6644,0
209.0797,1
272.6327,1
237.3572,1
202.733,1
203.1136,1
149.0645,1
247.6886,0
239.5747,0
233.9768,0
228.9615,0
228.3411,0
225.0176,0
231.8341,0
222.7169,1
198.5952,1
104.4283,0
84.8547,0
33.5486,0
40.6305,0
46.0357,0
46.8139,0
50.4648,1
98.7396,0
102.8883,0
124.0921,1
77.9527,1
87.3345,1
34.6699,0
92.5861,0
131.4447,1
118.7663,0
119.0221,0
115.7361,0
86.6236,1
112.425,0
99.7555,0
52.4337,1
139.823,0
136.5883,0
145.6818,0
166.7998,0
149.0517,1
165.9708,0
215.2086,0
225.6495,0
198.757,0
186.7378,0
60.2874,1
72.3922,0
177.1295,0
138.4894,1
183.7078,1
184.9237,1
188.0579,0
84.9975,0
94.9269,0
108.5602,0
91.427,0
164.7783,0
54.8486,0
40.5605,0
91.1246,0
101.6195,0
156.0771,0
84.2285,0
61.8481,0
60.5089,0
135.3455,1
329.0062,0
33.9927,0
46.0362,1
42.1392,0
142.255,0
165.5684,0
71.5514,1
138.4585,0
213.2754,0
99.6276,1
85.8841,1
223.1734,0
191.8523,0
231.2458,0
71.077,0
240.0095,0
204.6192,0
