species,songFrequency,fileLength,sampleSizeN
Panacanthus pallicornis,4.7,6,5
Promeca Sumatran,8.5,6.7,4
Copiphora rhinoceros,8.7,3.8,3
Promeca perakana,8.7,5,1
Acanthacara sp.,8.9,2.1,2
Typophyllum mortuifolium,9.4,3,2
Panacanthus cuspidatus,10.9,5,2
Neoconocephalus stigmaticus,11.3,1.6,5
Chondroderella borneensis,11.6,2.6,1
nr. Sphyrometopa sp.,12.7,2.1,1
Aemasia sp.,13.2,2.7,1
Championica walkeri,13.3,2.8,5
Macrochiton macromelos,13.8,2.8,5
Typophyllum bolivary,14,2.6,5
Ischnomela gracilis,15.1,2.5,2
Copiphora brevirostris,15.6,3.2,3
Copiphora cf gracilis,16.5,1.5,2
Trichotettix pilosula,16.9,1.7,2
Mystron sp.2,17.6,1.6,1
Typophyllum sp. 1,18.4,3.3,1
Pemba cochleata,19.2,1.4,1
Typophyllum egregium,19.2,3.4,1
Typophyllum zingara,19.7,4.2,1
Typophyllum cf trapeziforme,20.5,2.4,1
Copiphora gracilis,20.6,2,2
Typophyllum sp. 205,20.6,1.5,1
Diacanthodis granosa,21.4,1.5,1
Eubliastes aethiops,21.6,2.9,2
Teleutias akratonus,22,1.5,2
Docidocercus gausodontus,22.5,2.1,7
Docidocercus gigliotosi,23,2.2,3
Leurophyllum modestus,23,1.6,2
Typophyllum trapeziforme,23.2,2.2,2
Docidocercus chlorops,24,2,1
Teleutias fasciatus,24.1,1.2,19
Eubliastes chlorodyction,27.3,3,1
Graminofolium sp.,27.7,1.5,2
Scopiorinus carinulatus,28,1.8,3
Scopiorinus mucronatus,28,2,1
Ancistrocercus circumdatus,31,2.4,3
Daedalellus nigrofastigium,33,1.5,3
nr. Cowellia  sp.,34.1,1,2
Artiotonus tinae,36,1.7,1
Uchuca  amacayaca,36.6,0.7,2
nr. Paranelytra sp.,36.7,0.5,1
Kawanaphila yarraga,40.3,0.5,3
Artiotonus artius,40.7,1.4,2
Teleutias castaneus,42.1,1.4,1
Uchuca  halticos,42.3,0.7,7
Phlugis  sp.2,47.6,0.6,1
Eschatoceras sp.,64,0.7,1
Myopophyllum sp.,65.5,2,1
Haenschiella ecuadorica,66,0.9,1
Kawanaphila mirla,70.5,0.3,7
Drepanoxiphus angustelaminatus,73,1,3
Mypophyllum speciosum,83.3,1.9,4
Haenschiella sp.,105.5,1.1,1
Arachnoscelis sp.,129,0.53,2
