"lifespanDays","treatment","fertility"
4,"high-cost","sterile"
4,"high-cost","sterile"
5,"high-cost","sterile"
12,"high-cost","sterile"
12,"high-cost","sterile"
12,"high-cost","sterile"
13,"high-cost","sterile"
13,"high-cost","sterile"
13,"high-cost","sterile"
14,"high-cost","sterile"
17,"high-cost","sterile"
17,"high-cost","sterile"
18,"high-cost","sterile"
18,"high-cost","sterile"
18,"high-cost","sterile"
18,"high-cost","sterile"
18,"high-cost","sterile"
18,"high-cost","sterile"
18,"high-cost","sterile"
18,"high-cost","sterile"
18,"high-cost","sterile"
18,"high-cost","sterile"
18,"high-cost","sterile"
20,"high-cost","sterile"
20,"high-cost","sterile"
20,"high-cost","sterile"
20,"high-cost","sterile"
20,"high-cost","sterile"
20,"high-cost","sterile"
20,"high-cost","sterile"
20,"high-cost","sterile"
20,"high-cost","sterile"
21,"high-cost","sterile"
21,"high-cost","sterile"
21,"high-cost","sterile"
21,"high-cost","sterile"
21,"high-cost","sterile"
21,"high-cost","sterile"
21,"high-cost","sterile"
21,"high-cost","sterile"
21,"high-cost","sterile"
21,"high-cost","sterile"
21,"high-cost","sterile"
21,"high-cost","sterile"
21,"high-cost","sterile"
21,"high-cost","sterile"
21,"high-cost","sterile"
21,"high-cost","sterile"
21,"high-cost","sterile"
21,"high-cost","sterile"
22,"high-cost","sterile"
22,"high-cost","sterile"
22,"high-cost","sterile"
22,"high-cost","sterile"
22,"high-cost","sterile"
23,"high-cost","sterile"
23,"high-cost","sterile"
23,"high-cost","sterile"
23,"high-cost","sterile"
23,"high-cost","sterile"
23,"high-cost","sterile"
23,"high-cost","sterile"
23,"high-cost","sterile"
23,"high-cost","sterile"
23,"high-cost","sterile"
23,"high-cost","sterile"
24,"high-cost","sterile"
24,"high-cost","sterile"
24,"high-cost","sterile"
24,"high-cost","sterile"
24,"high-cost","sterile"
24,"high-cost","sterile"
24,"high-cost","sterile"
24,"high-cost","sterile"
24,"high-cost","sterile"
24,"high-cost","sterile"
24,"high-cost","sterile"
24,"high-cost","sterile"
24,"high-cost","sterile"
24,"high-cost","sterile"
24,"high-cost","sterile"
24,"high-cost","sterile"
25,"high-cost","sterile"
25,"high-cost","sterile"
25,"high-cost","sterile"
25,"high-cost","sterile"
25,"high-cost","sterile"
25,"high-cost","sterile"
25,"high-cost","sterile"
25,"high-cost","sterile"
25,"high-cost","sterile"
25,"high-cost","sterile"
25,"high-cost","sterile"
25,"high-cost","sterile"
25,"high-cost","sterile"
25,"high-cost","sterile"
25,"high-cost","sterile"
25,"high-cost","sterile"
25,"high-cost","sterile"
25,"high-cost","sterile"
25,"high-cost","sterile"
25,"high-cost","sterile"
25,"high-cost","sterile"
25,"high-cost","sterile"
25,"high-cost","sterile"
25,"high-cost","sterile"
25,"high-cost","sterile"
25,"high-cost","sterile"
25,"high-cost","sterile"
25,"high-cost","sterile"
25,"high-cost","sterile"
25,"high-cost","sterile"
26,"high-cost","sterile"
26,"high-cost","sterile"
26,"high-cost","sterile"
26,"high-cost","sterile"
26,"high-cost","sterile"
26,"high-cost","sterile"
26,"high-cost","sterile"
26,"high-cost","sterile"
26,"high-cost","sterile"
26,"high-cost","sterile"
26,"high-cost","sterile"
26,"high-cost","sterile"
27,"high-cost","sterile"
27,"high-cost","sterile"
27,"high-cost","sterile"
27,"high-cost","sterile"
27,"high-cost","sterile"
27,"high-cost","sterile"
27,"high-cost","sterile"
27,"high-cost","sterile"
27,"high-cost","sterile"
