"PlotID","Density","Trichome","propLeafAreaLost"
1,"H > N","Naked",0.2052991885
1,"H > N","Hairy",0.155092166666667
2,"H < N","Naked",0.0720877455
2,"H < N","Hairy",0.0115686275
4,"H < N","Naked",0.205031421833333
4,"H < N","Hairy",0.0461578945
5,"H > N","Naked",0.3035238095
5,"H > N","Hairy",0.2669633785
7,"H > N","Naked",0.1050097755
7,"H > N","Hairy",0.231079742666667
8,"H < N","Naked",0.178083825333333
8,"H < N","Hairy",0.0233306105
10,"H < N","Naked",0.2701077215
10,"H < N","Hairy",0.258409091
11,"H > N","Naked",0.3649753695
11,"H > N","Hairy",0.2278216825
13,"H < N","Naked",0.201038569
13,"H < N","Hairy",0.0619444445
14,"H > N","Naked",0.153591346
14,"H > N","Hairy",0.265178220833333
16,"H > N","Naked",0.150517241
16,"H > N","Hairy",0.129090458
17,"H < N","Naked",0.257226247333333
17,"H < N","Hairy",0.26313014
19,"H < N","Naked",0.313446709666667
19,"H < N","Hairy",0.2613512145
20,"H > N","Naked",0.1169298245
20,"H > N","Hairy",0.2352419585
22,"H > N","Naked",0.229799888
22,"H > N","Hairy",0.122575252
23,"H < N","Naked",0.334880229166667
23,"H < N","Hairy",0.069360465
25,"H > N","Naked",0.139736842
25,"H > N","Hairy",0.190682624666667
26,"H < N","Naked",0.2632681075
26,"H < N","Hairy",0.2299210525
28,"H < N","Naked",0.094343796
28,"H < N","Hairy",0.01
29,"H > N","Naked",0.189751082
29,"H > N","Hairy",0.1633041975
31,"H > N","Naked",0.281723086
31,"H > N","Hairy",0.252324041166667
32,"H < N","Naked",0.2761955355
32,"H < N","Hairy",0.0822145065
34,"H < N","Naked",0.133726379166667
34,"H < N","Hairy",0.107148063
35,"H > N","Naked",0.138635885
35,"H > N","Hairy",0.0581825478333333
37,"H < N","Naked",0.288334153166667
37,"H < N","Hairy",0.1225223215
38,"H > N","Naked",0.229761171
38,"H > N","Hairy",0.281390160333333
40,"H > N","Naked",0.4126785715
40,"H > N","Hairy",0.2979297695
41,"H < N","Naked",0.396598039833333
41,"H < N","Hairy",0.268172471
43,"H < N","Naked",0.343183151666667
43,"H < N","Hairy",0.1601085525
44,"H > N","Naked",0.1548063465
44,"H > N","Hairy",0.282666367833333
46,"H > N","Naked",0.1393801845
46,"H > N","Hairy",0.166939407166667
47,"H < N","Naked",0.3430724825
47,"H < N","Hairy",0.129904762
