"days","outcome","burrow"
0.1,1,"failed"
0.1,1,"failed"
0.1,1,"failed"
1,1,"failed"
1,1,"failed"
1,1,"failed"
1,1,"failed"
1,1,"failed"
2,1,"failed"
2,1,"failed"
2,1,"failed"
2,1,"failed"
2,1,"failed"
2,1,"failed"
2,1,"failed"
3,1,"failed"
3,1,"failed"
4,1,"failed"
4,1,"failed"
5,1,"failed"
5,1,"failed"
6,1,"failed"
7,1,"failed"
7,1,"failed"
8,1,"failed"
8,1,"failed"
9,1,"failed"
9,1,"failed"
9,1,"failed"
9,1,"failed"
10,1,"failed"
10,1,"failed"
10,1,"failed"
10,1,"failed"
10,1,"failed"
10,1,"failed"
10,1,"failed"
10,1,"failed"
11,1,"failed"
11,1,"failed"
11,1,"failed"
12,1,"failed"
12,1,"failed"
12,1,"failed"
14,1,"failed"
14,1,"failed"
15,1,"failed"
15,1,"failed"
15,1,"failed"
17,1,"failed"
18,1,"failed"
19,1,"failed"
19,1,"failed"
20,1,"failed"
20,1,"failed"
21,1,"failed"
21,1,"failed"
22,1,"failed"
23,1,"failed"
23,1,"failed"
25,1,"failed"
26,1,"failed"
29,1,"failed"
30,1,"failed"
32,1,"failed"
32,1,"failed"
32,1,"failed"
33,1,"failed"
33,1,"failed"
33,1,"failed"
33,1,"failed"
33,1,"failed"
34,1,"failed"
34,1,"failed"
34,1,"failed"
34,1,"failed"
34,1,"failed"
35,1,"failed"
35,1,"failed"
36,1,"failed"
36,1,"failed"
36,1,"failed"
36,1,"failed"
38,1,"failed"
0.1,1,"succeeded"
8,1,"succeeded"
10,1,"succeeded"
10,1,"succeeded"
11,1,"succeeded"
11,1,"succeeded"
11,1,"succeeded"
12,1,"succeeded"
12,1,"succeeded"
12,1,"succeeded"
12,1,"succeeded"
14,1,"succeeded"
16,1,"succeeded"
17,1,"succeeded"
17,1,"succeeded"
18,1,"succeeded"
19,1,"succeeded"
19,1,"succeeded"
21,1,"succeeded"
22,1,"succeeded"
27,1,"succeeded"
32,1,"succeeded"
32,1,"succeeded"
33,1,"succeeded"
33,1,"succeeded"
33,1,"succeeded"
33,1,"succeeded"
33,1,"succeeded"
35,1,"succeeded"
36,1,"succeeded"
40,1,"succeeded"
45,1,"succeeded"
