"animalID","treatment","age","initialherd","timeToTB","TBstatus","timeToDeath","deathStatus"
"Y35c","anthelmintic",40,"Crocodile Bridge",106,0,NA,NA
"Y5b","anthelmintic",50,"Crocodile Bridge",108,0,NA,NA
"W5b","anthelmintic",47,"Crocodile Bridge",117,0,NA,NA
"B42b","control",27,"Lower Sabie",118,1,NA,NA
"Y5c","anthelmintic",40,"Crocodile Bridge",147,1,683,0
"B40","anthelmintic",38,"Lower Sabie",150,1,599,0
"B22","control",72,"Lower Sabie",154,1,344,1
"R34b","control",42,"Crocodile Bridge",161,1,179,1
"O26b","control",39,"Lower Sabie",168,1,604,0
"W5","anthelmintic",52,"Crocodile Bridge",177,0,NA,NA
"R14","anthelmintic",60,"Crocodile Bridge",198,0,NA,NA
"B50","anthelmintic",30,"Lower Sabie",202,0,NA,NA
"B28","control",39,"Lower Sabie",204,0,NA,NA
"O24","anthelmintic",42,"Lower Sabie",209,1,1305,0
"R17","anthelmintic",66,"Crocodile Bridge",209,1,1197,0
"O6","anthelmintic",39,"Lower Sabie",210,1,1281,0
"B2","control",84,"Lower Sabie",216,1,145,1
"B26b","control",72,"Lower Sabie",216,0,NA,NA
"Y35","anthelmintic",45,"Crocodile Bridge",216,0,NA,NA
"O39","anthelmintic",40,"Lower Sabie",217,0,NA,NA
"Y23b","control",64,"Crocodile Bridge",231,0,NA,NA
"O32b","control",30,"Lower Sabie",234,0,NA,NA
"O28b","anthelmintic",48,"Lower Sabie",256,0,NA,NA
"B47b","control",96,"Lower Sabie",266,0,NA,NA
"Y35d","anthelmintic",60,"Crocodile Bridge",303,1,157,0
"Y30c","control",72,"Crocodile Bridge",306,0,NA,NA
"Y42","control",72,"Crocodile Bridge",331,1,1040,0
"Y19","anthelmintic",21,"Crocodile Bridge",331,0,NA,NA
"R39b","control",50,"Crocodile Bridge",334,0,NA,NA
"R51","anthelmintic",41,"Crocodile Bridge",335,1,1032,0
"Y10b","control",72,"Crocodile Bridge",335,0,NA,NA
"B37","control",39,"Lower Sabie",336,1,808,1
"Y8","control",45,"Crocodile Bridge",336,1,NA,NA
"R24b","anthelmintic",53,"Crocodile Bridge",340,0,NA,NA
"R5","anthelmintic",57,"Crocodile Bridge",341,1,189,1
"Y31d","anthelmintic",52,"Crocodile Bridge",341,0,NA,NA
"R31","control",132,"Crocodile Bridge",342,0,NA,NA
"R2","anthelmintic",41,"Crocodile Bridge",343,1,1058,0
"Y1","control",47,"Crocodile Bridge",343,0,NA,NA
"R29","anthelmintic",108,"Crocodile Bridge",344,1,27,1
"Y12","anthelmintic",60,"Crocodile Bridge",344,1,1052,0
"O2","anthelmintic",54,"Lower Sabie",348,0,NA,NA
"R37","anthelmintic",30,"Crocodile Bridge",348,0,NA,NA
"B1","control",39,"Lower Sabie",349,1,990,1
