"ID","event","time_weeks","sex","age","rank"
5874821,0,18,"m",1,"breeder"
5843803,0,15,"f",1,"breeder"
5617740,0,10,"m",2,"nonbreeder"
5395898,0,10,"f",2,"breeder"
5160821,0,13,"f",2,"breeder"
5830271,0,10,"f",9,"breeder"
5830271,0,1,"f",12,"breeder"
5230877,0,10,"f",2,"breeder"
5875166,0,13,"f",2,"breeder"
5467387,1,4,"m",2,"breeder"
5095637,1,4,"f",2,"breeder"
5893391,0,13,"f",2,"breeder"
5358193,0,12,"f",2,"breeder"
5830271,0,13,"f",13,"breeder"
5004971,0,12,"m",2,"breeder"
5628345,1,3,"f",8,"breeder"
5894044,1,3,"f",7,"breeder"
5951714,0,14,"m",2,"breeder"
5112294,0,14,"f",2,"breeder"
5267512,0,13,"m",2,"breeder"
5992800,0,12,"m",3,"breeder"
5267172,0,12,"m",5,"breeder"
5373769,0,14,"f",2,"breeder"
5561591,1,5,"m",2,"breeder"
5743281,0,13,"f",2,"breeder"
5959760,1,8,"m",2,"breeder"
5454420,0,10,"f",2,"breeder"
5713031,0,18,"m",5,"breeder"
5023782,0,10,"f",2,"breeder"
5014282,0,13,"f",8,"breeder"
5014282,0,13,"f",9,"breeder"
5014282,0,13,"f",10,"breeder"
5216778,0,12,"m",4,"breeder"
5216778,0,13,"m",6,"breeder"
5285918,0,14,"f",2,"breeder"
5548895,0,13,"f",2,"breeder"
5216778,0,10,"m",5,"breeder"
5852515,0,14,"f",2,"breeder"
5828149,0,13,"f",2,"breeder"
5139842,0,11,"m",4,"breeder"
5179806,0,13,"f",2,"breeder"
5752871,0,14,"f",2,"breeder"
5064016,0,14,"f",2,"breeder"
5041502,0,13,"f",2,"breeder"
5384092,0,10,"m",2,"breeder"
5606075,0,14,"m",3,"breeder"
5134960,0,14,"f",3,"breeder"
5390741,0,13,"f",3,"breeder"
5384092,0,14,"m",3,"breeder"
5850618,0,13,"f",3,"breeder"
5230877,0,14,"f",3,"breeder"
5875166,0,14,"f",3,"breeder"
5384092,0,13,"m",4,"breeder"
5871626,0,10,"m",2,"breeder"
5871626,0,14,"m",3,"breeder"
5224841,0,13,"f",3,"breeder"
5871626,0,12,"m",5,"breeder"
5231591,0,14,"f",3,"breeder"
5037882,1,3,"m",3,"breeder"
5657595,0,10,"f",3,"breeder"
5023782,0,13,"f",3,"breeder"
5174282,0,14,"m",2,"breeder"
5174282,0,13,"m",3,"breeder"
5174282,0,11,"m",4,"breeder"
5242645,0,14,"f",3,"breeder"
5064243,0,14,"m",3,"breeder"
5834853,0,13,"f",3,"breeder"
5951000,0,14,"m",3,"nonbreeder"
5377874,0,14,"f",3,"breeder"
5096007,0,13,"f",3,"breeder"
5373769,1,4,"f",3,"breeder"
5197202,0,12,"f",3,"breeder"
5529807,0,14,"f",2,"breeder"
5743281,0,13,"f",3,"breeder"
5514717,0,13,"f",3,"breeder"
5529807,0,13,"f",3,"breeder"
5529807,0,13,"f",4,"breeder"
5834853,0,18,"f",3,"breeder"
5064243,0,18,"m",3,"breeder"
5356642,0,14,"m",2,"breeder"
5230492,0,13,"f",2,"breeder"
5230492,0,13,"f",3,"breeder"
5572770,0,12,"f",3,"breeder"
5490954,0,13,"f",2,"breeder"
5350135,0,12,"m",3,"breeder"
5490954,0,13,"f",3,"breeder"
5490954,0,13,"f",4,"breeder"
5354075,0,13,"f",3,"breeder"
5773491,0,13,"f",3,"breeder"
5356396,0,13,"m",2,"breeder"
5285918,0,13,"f",3,"breeder"
5044442,0,13,"f",2,"breeder"
5464694,0,13,"f",3,"breeder"
5548895,0,14,"f",3,"breeder"
5718520,0,14,"f",3,"breeder"
5004971,0,13,"m",3,"breeder"
5044442,0,13,"f",3,"breeder"
5448990,0,13,"m",4,"breeder"
5640168,0,2,"m",3,"breeder"
5698681,0,13,"f",3,"breeder"
5293615,0,14,"f",3,"breeder"
5852515,0,13,"f",3,"breeder"
5698681,0,12,"f",4,"breeder"
5104449,0,13,"f",3,"breeder"
5225335,0,14,"f",3,"breeder"
5828149,0,14,"f",3,"breeder"
5104449,0,13,"f",4,"breeder"
5104449,0,14,"f",5,"breeder"
5565839,0,4,"m",3,"breeder"
5104449,0,13,"f",7,"breeder"
5161571,0,13,"f",3,"breeder"
5421618,0,14,"f",3,"breeder"
5161571,0,13,"f",5,"breeder"
5161571,0,12,"f",6,"breeder"
5161571,0,13,"f",4,"breeder"
5417738,0,13,"f",3,"breeder"
5417738,0,13,"f",4,"breeder"
5167134,0,12,"f",3,"breeder"
5064016,0,13,"f",3,"breeder"
5167134,0,13,"f",4,"breeder"
5212405,0,14,"f",3,"breeder"
5137034,0,11,"f",3,"breeder"
5137034,0,14,"f",4,"breeder"
5626372,0,5,"m",3,"breeder"
5137034,0,14,"f",5,"breeder"
5252522,0,5,"m",3,"breeder"
5297034,0,18,"m",3,"breeder"
5212405,0,5,"f",3,"breeder"
5137034,0,14,"f",6,"breeder"
5704338,1,6,"f",4,"breeder"
5134960,0,13,"f",4,"breeder"
5390741,0,12,"f",4,"breeder"
5077830,0,9,"f",2,"breeder"
5893054,1,13,"f",4,"breeder"
5660708,0,13,"f",2,"nonbreeder"
5260018,0,14,"m",4,"breeder"
5743943,0,14,"f",4,"breeder"
5948753,0,13,"f",4,"breeder"
5572770,0,10,"f",4,"breeder"
5657595,0,14,"f",4,"breeder"
5657595,0,14,"f",4,"breeder"
5828149,0,14,"f",4,"breeder"
5023782,0,13,"f",4,"breeder"
5948753,0,14,"f",6,"breeder"
5404075,0,14,"f",4,"breeder"
5582728,0,10,"m",4,"breeder"
5468239,0,12,"m",4,"breeder"
5834853,0,13,"f",4,"breeder"
5404075,0,13,"f",5,"breeder"
5404075,0,14,"f",6,"breeder"
5721718,0,19,"m",4,"breeder"
5721718,1,2,"m",6,"breeder"
5276952,0,13,"m",4,"breeder"
5743281,0,13,"f",4,"breeder"
5813331,0,12,"f",3,"breeder"
5813331,0,14,"f",4,"breeder"
5813331,0,14,"f",5,"breeder"
5813331,1,9,"f",6,"breeder"
5616608,0,13,"f",4,"breeder"
5485811,0,13,"f",3,"breeder"
5269907,0,14,"f",5,"breeder"
5269907,0,13,"f",6,"breeder"
5269907,0,5,"f",6,"breeder"
5126237,0,18,"m",4,"breeder"
5773491,0,14,"f",4,"breeder"
5285918,0,14,"f",4,"breeder"
5464694,1,6,"f",4,"breeder"
5173489,1,3,"f",4,"breeder"
5525337,0,14,"f",4,"breeder"
5525337,0,13,"f",5,"breeder"
5225335,0,14,"f",4,"breeder"
5525337,0,14,"f",6,"breeder"
5769027,0,12,"f",3,"breeder"
5769027,0,12,"f",3,"breeder"
5769027,1,5,"f",4,"breeder"
5575494,0,12,"f",3,"breeder"
5575494,0,14,"f",4,"breeder"
5575494,0,13,"f",5,"breeder"
5141795,0,14,"f",4,"breeder"
5271021,0,12,"f",3,"breeder"
5271021,0,14,"f",4,"breeder"
5271021,0,12,"f",5,"breeder"
5271021,0,13,"f",6,"breeder"
5626381,0,4,"m",6,"breeder"
5064016,0,14,"f",4,"breeder"
5270649,0,2,"f",4,"breeder"
5270649,0,14,"f",6,"breeder"
5259028,1,3,"m",3,"breeder"
5525576,0,14,"f",3,"breeder"
5134960,0,13,"f",5,"breeder"
5320914,0,13,"m",5,"breeder"
5606075,0,14,"m",5,"breeder"
5390741,0,13,"f",5,"breeder"
5174785,0,14,"m",5,"breeder"
5223078,0,13,"f",5,"breeder"
5675654,0,12,"m",5,"breeder"
5525576,0,13,"f",4,"breeder"
5904526,0,13,"f",3,"breeder"
5904526,0,13,"f",4,"breeder"
5804693,0,12,"f",3,"breeder"
5023782,0,13,"f",5,"breeder"
5657595,0,13,"f",5,"breeder"
5570536,0,14,"f",3,"breeder"
5320914,0,8,"m",6,"breeder"
5395898,0,13,"f",6,"breeder"
5134960,0,13,"f",6,"breeder"
5174785,0,14,"m",6,"breeder"
5570536,0,12,"f",4,"breeder"
5912007,0,14,"f",3,"breeder"
5023782,0,13,"f",6,"breeder"
5912007,1,4,"f",4,"breeder"
5675654,0,14,"m",7,"breeder"
5420440,0,14,"m",4,"breeder"
5657595,0,14,"f",7,"breeder"
5023782,0,13,"f",7,"breeder"
5446051,0,12,"f",8,"breeder"
5133066,0,14,"f",8,"breeder"
5405181,0,13,"f",8,"breeder"
5133066,0,12,"f",9,"breeder"
5427549,0,8,"m",10,"breeder"
5446051,0,14,"f",10,"breeder"
5092301,0,11,"m",5,"breeder"
5613286,0,19,"m",3,"breeder"
5866476,0,17,"m",3,"breeder"
5743281,0,14,"f",5,"breeder"
5003420,0,14,"f",4,"breeder"
5430304,0,14,"m",6,"breeder"
5743281,0,12,"f",6,"breeder"
5430304,0,12,"m",7,"breeder"
5841485,1,5,"f",7,"breeder"
5743281,0,13,"f",7,"breeder"
5003420,0,14,"f",5,"breeder"
5616608,0,4,"f",5,"breeder"
5616608,0,14,"f",6,"breeder"
5672031,0,19,"m",3,"breeder"
5616608,0,14,"f",7,"breeder"
5616608,0,4,"f",7,"breeder"
5336832,0,14,"f",3,"breeder"
5336832,0,13,"f",4,"breeder"
5491591,0,13,"f",3,"breeder"
5718520,0,12,"f",5,"breeder"
5604392,0,13,"f",4,"breeder"
5696386,0,18,"m",5,"breeder"
5156585,0,13,"m",3,"breeder"
5160218,0,13,"f",3,"breeder"
5196635,1,2,"m",2,"breeder"
5669806,0,12,"f",5,"breeder"
5024493,0,14,"m",3,"breeder"
5640168,0,4,"m",5,"breeder"
5669806,0,14,"f",6,"breeder"
5316414,0,19,"m",2,"breeder"
5041990,0,18,"m",2,"breeder"
5502267,0,13,"m",3,"breeder"
5486821,0,13,"f",3,"breeder"
5486821,0,13,"f",4,"breeder"
5663359,0,13,"f",3,"breeder"
5663359,1,1,"f",4,"breeder"
5297503,0,13,"f",2,"breeder"
5302040,0,12,"f",4,"breeder"
5302040,0,12,"f",5,"breeder"
5741302,1,2,"f",4,"breeder"
5370419,1,2,"m",5,"breeder"
5613814,0,18,"m",3,"breeder"
5743751,1,1,"f",4,"breeder"
5784078,0,12,"m",3,"breeder"
5784078,0,13,"m",5,"breeder"
5819067,0,12,"f",3,"breeder"
5819067,0,13,"f",4,"breeder"
5819067,0,13,"f",5,"breeder"
5178120,0,18,"m",1,"nonbreeder"
5174785,0,18,"m",2,"nonbreeder"
5126237,0,18,"m",1,"nonbreeder"
5363904,0,18,"m",2,"nonbreeder"
5262911,0,18,"f",2,"nonbreeder"
5693634,0,18,"f",1,"nonbreeder"
5459783,0,18,"m",1,"nonbreeder"
5337391,0,16,"f",1,"nonbreeder"
5048816,0,17,"f",1,"nonbreeder"
5278132,0,17,"f",1,"nonbreeder"
5545590,0,18,"f",1,"nonbreeder"
5848408,0,15,"m",1,"nonbreeder"
5064243,0,16,"m",1,"nonbreeder"
5454213,0,16,"f",1,"nonbreeder"
5081249,0,5,"f",1,"nonbreeder"
