generation,flowerLength
F1,55
F1,55
F1,55
F1,55
F1,58
F1,58
F1,58
F1,58
F1,58
F1,58
F1,58
F1,58
F1,58
F1,58
F1,61
F1,61
F1,61
F1,61
F1,61
F1,61
F1,61
F1,61
F1,61
F1,61
F1,61
F1,61
F1,61
F1,61
F1,61
F1,61
F1,61
F1,61
F1,61
F1,61
F1,61
F1,61
F1,61
F1,61
F1,61
F1,61
F1,61
F1,61
F1,61
F1,61
F1,61
F1,61
F1,61
F1,61
F1,61
F1,61
F1,61
F1,61
F1,61
F1,61
F1,61
F1,64
F1,64
F1,64
F1,64
F1,64
F1,64
F1,64
F1,64
F1,64
F1,64
F1,64
F1,64
F1,64
F1,64
F1,64
F1,64
F1,64
F1,64
F1,64
F1,64
F1,64
F1,64
F1,64
F1,64
F1,64
F1,64
F1,64
F1,64
F1,64
F1,64
F1,64
F1,64
F1,64
F1,64
F1,64
F1,64
F1,64
F1,64
F1,64
F1,64
F1,64
F1,64
F1,64
F1,64
F1,64
F1,64
F1,64
F1,64
F1,64
F1,64
F1,64
F1,64
F1,64
F1,64
F1,64
F1,64
F1,64
F1,64
F1,64
F1,64
F1,64
F1,64
F1,64
F1,64
F1,64
F1,64
F1,64
F1,64
F1,64
F1,64
F1,64
F1,64
F1,64
F1,64
F1,64
F1,67
F1,67
F1,67
F1,67
F1,67
F1,67
F1,67
F1,67
F1,67
F1,67
F1,67
F1,67
F1,67
F1,67
F1,67
F1,67
F1,67
F1,67
F1,67
F1,67
F1,67
F1,67
F1,67
F1,67
F1,67
F1,67
F1,67
F1,67
F1,67
F1,67
F1,67
F1,67
F1,67
F1,67
F1,67
F1,67
F1,67
F1,67
F1,67
F1,67
F1,70
F1,70
F1,70
F2,52
F2,52
F2,52
F2,55
F2,55
F2,55
F2,55
F2,55
F2,55
F2,55
F2,55
F2,55
F2,58
F2,58
F2,58
F2,58
F2,58
F2,58
F2,58
F2,58
F2,58
F2,58
F2,58
F2,58
F2,58
F2,58
F2,58
F2,58
F2,58
F2,58
F2,61
F2,61
F2,61
F2,61
F2,61
F2,61
F2,61
F2,61
F2,61
F2,61
F2,61
F2,61
F2,61
F2,61
F2,61
F2,61
F2,61
F2,61
F2,61
F2,61
F2,61
F2,61
F2,61
F2,61
F2,61
F2,61
F2,61
F2,61
F2,61
F2,61
F2,61
F2,61
F2,61
F2,61
F2,61
F2,61
F2,61
F2,61
F2,61
F2,61
F2,61
F2,61
F2,61
F2,61
F2,61
F2,61
F2,61
F2,64
F2,64
F2,64
F2,64
F2,64
F2,64
F2,64
F2,64
F2,64
F2,64
F2,64
F2,64
F2,64
F2,64
F2,64
F2,64
F2,64
F2,64
F2,64
F2,64
F2,64
F2,64
F2,64
F2,64
F2,64
F2,64
F2,64
F2,64
F2,64
F2,64
F2,64
F2,64
F2,64
F2,64
F2,64
F2,64
F2,64
F2,64
F2,64
F2,64
F2,64
F2,64
F2,64
F2,64
F2,64
F2,64
F2,64
F2,64
F2,64
F2,64
F2,64
F2,64
F2,64
F2,64
F2,64
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,67
F2,70
F2,70
F2,70
F2,70
F2,70
F2,70
F2,70
F2,70
F2,70
F2,70
F2,70
F2,70
F2,70
F2,70
F2,70
F2,70
F2,70
F2,70
F2,70
F2,70
F2,70
F2,70
F2,70
F2,70
F2,70
F2,70
F2,70
F2,70
F2,70
F2,70
F2,70
F2,70
F2,70
F2,70
F2,70
F2,70
F2,70
F2,70
F2,70
F2,70
F2,70
F2,70
F2,70
F2,70
F2,70
F2,70
F2,70
F2,70
F2,70
F2,70
F2,70
F2,70
F2,70
F2,70
F2,70
F2,70
F2,70
F2,70
F2,70
F2,70
F2,70
F2,70
F2,70
F2,70
F2,70
F2,70
F2,70
F2,70
F2,70
F2,70
F2,70
F2,70
F2,70
F2,70
F2,70
F2,73
F2,73
F2,73
F2,73
F2,73
F2,73
F2,73
F2,73
F2,73
F2,73
F2,73
F2,73
F2,73
F2,73
F2,73
F2,73
F2,73
F2,73
F2,73
F2,73
F2,73
F2,73
F2,73
F2,73
F2,73
F2,73
F2,73
F2,73
F2,73
F2,73
F2,73
F2,73
F2,73
F2,73
F2,73
F2,73
F2,73
F2,73
F2,73
F2,73
F2,73
F2,73
F2,73
F2,73
F2,73
F2,73
F2,73
F2,73
F2,73
F2,73
F2,73
F2,73
F2,73
F2,73
F2,73
F2,73
F2,73
F2,73
F2,73
F2,73
F2,76
F2,76
F2,76
F2,76
F2,76
F2,76
F2,76
F2,76
F2,76
F2,76
F2,76
F2,76
F2,76
F2,76
F2,76
F2,76
F2,76
F2,76
F2,76
F2,76
F2,76
F2,76
F2,76
F2,76
F2,76
F2,76
F2,76
F2,76
F2,76
F2,76
F2,76
F2,76
F2,76
F2,76
F2,76
F2,76
F2,76
F2,76
F2,76
F2,76
F2,76
F2,76
F2,76
F2,79
F2,79
F2,79
F2,79
F2,79
F2,79
F2,79
F2,79
F2,79
F2,79
F2,79
F2,79
F2,79
F2,79
F2,79
F2,79
F2,79
F2,79
F2,79
F2,79
F2,79
F2,79
F2,79
F2,79
F2,79
F2,82
F2,82
F2,82
F2,82
F2,82
F2,82
F2,82
F2,85
F2,85
F2,85
F2,85
F2,85
F2,85
F2,85
F2,85
F2,88
