period,accuracyOfWalkingPosture
prehistoric,correct
prehistoric,correct
prehistoric,correct
prehistoric,correct
prehistoric,correct
prehistoric,correct
prehistoric,correct
prehistoric,correct
prehistoric,correct
prehistoric,correct
prehistoric,correct
prehistoric,correct
prehistoric,correct
prehistoric,correct
prehistoric,correct
prehistoric,correct
prehistoric,correct
prehistoric,correct
prehistoric,correct
prehistoric,correct
prehistoric,correct
modern pre-Muybridge,correct
modern pre-Muybridge,correct
modern pre-Muybridge,correct
modern pre-Muybridge,correct
modern pre-Muybridge,correct
modern pre-Muybridge,correct
modern pre-Muybridge,correct
modern pre-Muybridge,correct
modern pre-Muybridge,correct
modern pre-Muybridge,correct
modern pre-Muybridge,correct
modern pre-Muybridge,correct
modern pre-Muybridge,correct
modern pre-Muybridge,correct
modern pre-Muybridge,correct
modern pre-Muybridge,correct
modern pre-Muybridge,correct
modern pre-Muybridge,correct
modern pre-Muybridge,correct
modern pre-Muybridge,correct
modern pre-Muybridge,correct
modern pre-Muybridge,correct
modern pre-Muybridge,correct
modern pre-Muybridge,correct
modern pre-Muybridge,correct
modern pre-Muybridge,correct
modern pre-Muybridge,correct
modern pre-Muybridge,correct
modern pre-Muybridge,correct
modern pre-Muybridge,correct
modern pre-Muybridge,correct
modern pre-Muybridge,correct
modern pre-Muybridge,correct
modern pre-Muybridge,correct
modern pre-Muybridge,correct
modern pre-Muybridge,correct
modern pre-Muybridge,correct
modern pre-Muybridge,correct
modern pre-Muybridge,correct
modern pre-Muybridge,correct
modern pre-Muybridge,correct
modern pre-Muybridge,correct
modern pre-Muybridge,correct
modern pre-Muybridge,correct
modern pre-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
modern post-Muybridge,correct
prehistoric,incorrect
prehistoric,incorrect
prehistoric,incorrect
prehistoric,incorrect
prehistoric,incorrect
prehistoric,incorrect
prehistoric,incorrect
prehistoric,incorrect
prehistoric,incorrect
prehistoric,incorrect
prehistoric,incorrect
prehistoric,incorrect
prehistoric,incorrect
prehistoric,incorrect
prehistoric,incorrect
prehistoric,incorrect
prehistoric,incorrect
prehistoric,incorrect
modern pre-Muybridge,incorrect
modern pre-Muybridge,incorrect
modern pre-Muybridge,incorrect
modern pre-Muybridge,incorrect
modern pre-Muybridge,incorrect
modern pre-Muybridge,incorrect
modern pre-Muybridge,incorrect
modern pre-Muybridge,incorrect
modern pre-Muybridge,incorrect
modern pre-Muybridge,incorrect
modern pre-Muybridge,incorrect
modern pre-Muybridge,incorrect
modern pre-Muybridge,incorrect
modern pre-Muybridge,incorrect
modern pre-Muybridge,incorrect
modern pre-Muybridge,incorrect
modern pre-Muybridge,incorrect
modern pre-Muybridge,incorrect
modern pre-Muybridge,incorrect
modern pre-Muybridge,incorrect
modern pre-Muybridge,incorrect
modern pre-Muybridge,incorrect
modern pre-Muybridge,incorrect
modern pre-Muybridge,incorrect
modern pre-Muybridge,incorrect
modern pre-Muybridge,incorrect
modern pre-Muybridge,incorrect
modern pre-Muybridge,incorrect
modern pre-Muybridge,incorrect
modern pre-Muybridge,incorrect
modern pre-Muybridge,incorrect
modern pre-Muybridge,incorrect
modern pre-Muybridge,incorrect
modern pre-Muybridge,incorrect
modern pre-Muybridge,incorrect
